time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062807282405113,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0047683715820312,0.00762939453125,0.0047683715820312,0.00762939453125,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062119308395765,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0047683715820312,0.0054836273193359,0.0047683715820312,0.0054836273193359,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061495550747575,0.0080585479736328,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0074386596679687,0.0062783559163411,0.0116825103759765,0.0084400177001953,0.0116825103759765,0.0107765197753906,0.0111103057861328,0.0204086303710937,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,121.656,8.792,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061287599451401,0.0080347061157226,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0080108642578125,0.0068187713623046,0.0085830688476562,0.0079154968261718,0.0085830688476562,0.0134944915771484,0.0108718872070312,0.0207901000976562,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,123.952,13.912,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060820579528808,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0059445699055989,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0079631805419921,0.0108559926350911,0.0267982482910156,0.496,1.424,0.0,0.0,11.968,12.008,0.0,0.0,112.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060351926888992,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0069618225097656,0.0053644180297851,0.0088214874267578,0.0060319900512695,0.0088214874267578,0.0100135803222656,0.0115394592285156,0.0213146209716796,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,114.344,4.48,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064266261769764,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.005960464477539,0.0128746032714843,0.0133514404296875,0.0128746032714843,0.0133514404296875,0.0084161758422851,0.0115394592285156,0.0261545181274414,0.496,1.424,0.0,0.0,7.736,8.264,0.0,0.0,113.256,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060529851201754,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0047683715820312,0.0095367431640625,0.0047683715820312,0.0095367431640625,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061431334386417,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0,0.006103515625,0.0054836273193359,0.0121593475341796,0.0054836273193359,0.0121593475341796,0.00762939453125,0.0111103057861328,0.0211238861083984,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,113.256,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063848495483398,0.0086069107055664,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0072956085205078,0.0,0.0071525573730468,0.0,0.0071525573730468,0.009918212890625,0.0112056732177734,0.0215053558349609,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,112.0,0.0,0
