time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006190579922045,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0069141387939453,0.0069141387939453,0.0060830797467912,0.0061988830566406,0.0090599060058593,0.0090599060058593,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,113.256,25.152,27.344,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059757326624076,0.0081062316894531,0.005960464477539,0.0081300735473632,0.0102519989013671,0.0102519989013671,0.0060830797467912,0.0061988830566406,0.0109672546386718,0.0109672546386718,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,120.792,25.152,27.344,20.656,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061002270928744,0.0083446502685546,0.0046730041503906,0.0057697296142578,0.00762939453125,0.00762939453125,0.0060830797467912,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,122.664,25.152,27.344,33.432,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061213970184326,0.0083446502685546,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0060830797467912,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061607360839843,0.0085830688476562,0.0,0.0,0.0057220458984375,0.0057220458984375,0.0060830797467912,0.0061988830566406,0.0066757202148437,0.0066757202148437,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061942081825405,0.0083446502685546,0.0053246815999348,0.0072717666625976,0.0073909759521484,0.0073909759521484,0.0060830797467912,0.0061988830566406,0.0121593475341796,0.0121593475341796,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,126.656,25.152,27.344,39.712,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061245247869208,0.0081062316894531,0.005960464477539,0.0069141387939453,0.0126361846923828,0.0126361846923828,0.0060830797467912,0.0061988830566406,0.0126361846923828,0.0126361846923828,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,116.016,25.152,27.344,3.664,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059191543276947,0.0078678131103515,0.0066757202148437,0.0080108642578125,0.00762939453125,0.00762939453125,0.0,0.0061988830566406,0.013589859008789,0.013589859008789,0.0061988830566406,0.0,0.0,0.0162124633789062,0.0162124633789062,0.0,0.496,1.424,0.848,0.848,115.6,0.0,0.0,3.248,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0081062316894531,0.0045299530029296,0.0045299530029296,0.0083446502685546,0.0083446502685546,0.0,0.0061988830566406,0.0116825103759765,0.0116825103759765,0.0061988830566406,0.0,0.0,0.0162124633789062,0.0162124633789062,0.0,0.496,1.424,0.848,0.848,113.256,0.0,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062826836463248,0.0087976455688476,0.005824225289481,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0070095062255859,0.0061988830566406,0.00762939453125,0.00762939453125,0.0061988830566406,0.0092029571533203,0.0119209289550781,0.0162124633789062,0.0162124633789062,0.0225543975830078,0.496,1.36,0.848,0.848,118.736,4.52,3.504,17.288,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061277133315356,0.0081062316894531,0.0050862630208333,0.0057220458984375,0.0083446502685546,0.0083446502685546,0.0058650970458984,0.0061988830566406,0.0061988830566406,0.0061988830566406,0.0061988830566406,0.0074386596679687,0.0110626220703125,0.0162124633789062,0.0162124633789062,0.0207424163818359,0.496,1.424,0.848,0.848,115.88,3.744,4.232,21.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060434958234948,0.0081062316894531,0.0066161155700683,0.007939338684082,0.0088214874267578,0.0088214874267578,0.0062465667724609,0.0061988830566406,0.011444091796875,0.011444091796875,0.0061988830566406,0.0081300735473632,0.0103235244750976,0.0162124633789062,0.0162124633789062,0.0267505645751953,0.496,1.424,0.848,0.848,114.36,8.264,7.736,8.768,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062581911608947,0.0083446502685546,0.0050067901611328,0.005197525024414,0.0085830688476562,0.0085830688476562,0.0,0.0061988830566406,0.0116825103759765,0.0116825103759765,0.0061988830566406,0.0,0.0,0.0162124633789062,0.0162124633789062,0.0,0.496,1.424,0.848,0.848,114.52,0.0,0.0,4.288,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061443196007268,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0058174133300781,0.0061988830566406,0.0102519989013671,0.0102519989013671,0.0061988830566406,0.0072479248046875,0.0109195709228515,0.0162124633789062,0.0162124633789062,0.0206470489501953,0.496,1.36,0.848,0.848,113.256,3.744,4.232,1.192,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0073909759521484,0.0073909759521484,0.0062465667724609,0.0061988830566406,0.0116825103759765,0.0116825103759765,0.0061988830566406,0.0079154968261718,0.011301040649414,0.0162124633789062,0.0162124633789062,0.0215053558349609,0.496,1.36,0.848,0.848,113.256,3.744,4.232,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062439572158737,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.00762939453125,0.00762939453125,0.0063101450602213,0.0061988830566406,0.0123977661132812,0.0123977661132812,0.0061988830566406,0.0084877014160156,0.0114123026529947,0.0162124633789062,0.0162124633789062,0.0279426574707031,0.496,1.36,0.848,0.848,113.256,12.008,11.968,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711933135986,0.0081062316894531,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0062465667724609,0.0078678131103515,0.0119209289550781,0.0119209289550781,0.0078678131103515,0.0080585479736328,0.0107765197753906,0.00762939453125,0.00762939453125,0.0203609466552734,0.496,1.36,0.848,0.848,112.0,3.744,4.232,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062442407375428,0.0083446502685546,0.0052849451700846,0.0063180923461914,0.009775161743164,0.009775161743164,0.0067710876464843,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0081300735473632,0.0114202499389648,0.0,0.0,0.0287294387817382,0.496,1.424,0.0,0.0,127.032,8.264,7.736,15.648,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062442407375428,0.0083446502685546,0.0052849451700846,0.0063180923461914,0.0060319900512695,0.0053644180297851,0.0,0.0,0.0110864639282226,0.0121355056762695,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.272,0.0,0.0,127.032,0.0,0.0,15.648,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062442407375428,0.0083446502685546,0.0052849451700846,0.0063180923461914,0.0100135803222656,0.0100135803222656,0.0066757202148437,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0091075897216796,0.011301040649414,0.0,0.0,0.0221729278564453,0.496,1.36,0.0,0.0,127.032,3.744,4.232,15.648,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062442407375428,0.0083446502685546,0.0052849451700846,0.0063180923461914,0.0085830688476562,0.0085830688476562,0.0058174133300781,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0072479248046875,0.011444091796875,0.0,0.0,0.0218391418457031,0.496,1.36,0.0,0.0,127.032,3.744,4.232,15.648,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060380083843342,0.0084638595581054,0.0048557917277018,0.0067710876464843,0.009775161743164,0.009775161743164,0.0064849853515625,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0082969665527343,0.0107765197753906,0.0,0.0,0.027322769165039,0.496,1.36,0.0,0.0,127.6,12.008,11.968,212.832,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062534465125544,0.0081062316894531,0.0046253204345703,0.0057458877563476,0.0100135803222656,0.0100135803222656,0.0073909759521484,0.0,0.011444091796875,0.011444091796875,0.0,0.0112533569335937,0.0111579895019531,0.0,0.0,0.0213146209716796,0.496,1.424,0.0,0.0,113.256,3.744,4.232,225.088,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062543566864315,0.0083446502685546,0.004438253549429,0.0052452087402343,0.00762939453125,0.00762939453125,0.0070571899414062,0.0,0.0078678131103515,0.0078678131103515,0.0,0.009322166442871,0.0106573104858398,0.0,0.0,0.0251293182373046,0.496,1.424,0.0,0.0,118.448,8.264,7.736,227.808,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060292618784738,0.00762939453125,0.0065735408238002,0.0091075897216796,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.36,0.0,0.0,45.384,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062249786225124,0.0085830688476562,0.0050067901611328,0.005960464477539,0.009775161743164,0.009775161743164,0.0075340270996093,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0088214874267578,0.0136852264404296,0.0,0.0,0.0262737274169921,0.496,1.392,0.0,0.0,117.192,3.744,4.232,18.992,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062878452130218,0.0085830688476562,0.0050618098332331,0.0063180923461914,0.0069141387939453,0.0069141387939453,0.0063419342041015,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0075817108154296,0.0105857849121093,0.0,0.0,0.020456314086914,0.496,1.424,0.0,0.0,117.192,3.744,4.232,122.24,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063507118035311,0.0088214874267578,0.0049449779369212,0.0062465667724609,0.0078678131103515,0.0078678131103515,0.0059127807617187,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0075340270996093,0.0105857849121093,0.0,0.0,0.0202178955078125,0.496,1.424,0.0,0.0,114.552,3.744,4.232,93.64,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062614384264048,0.0085830688476562,0.0051622805388077,0.0063896179199218,0.0083446502685546,0.0083446502685546,0.0061511993408203,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0081539154052734,0.0110308329264322,0.0,0.0,0.0284194946289062,0.496,1.424,0.0,0.0,116.048,12.008,11.968,106.056,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006332255826138,0.0085830688476562,0.0050332811143663,0.0058174133300781,0.0085830688476562,0.0085830688476562,0.006013446384006,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0073909759521484,0.010858882557262,0.0,0.0,0.0259876251220703,0.496,1.424,0.0,0.0,118.096,8.792,7.208,90.136,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064302198957688,0.0090599060058593,0.0049976202157827,0.0056028366088867,0.0085830688476562,0.0085830688476562,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,115.984,0.0,0.0,66.608,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065096575229322,0.0088214874267578,0.005350112915039,0.006866455078125,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0185966491699218,0.0185966491699218,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.856,0.0,0.0,63.096,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061490642490671,0.0085830688476562,0.0053185683030348,0.0064849853515625,0.0085830688476562,0.0085830688476562,0.0059008598327636,0.0,0.0116825103759765,0.0116825103759765,0.0,0.006866455078125,0.0104109446207682,0.0,0.0,0.0183582305908203,0.496,1.424,0.0,0.0,114.728,4.272,3.704,32.904,0
