time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060892105102539,0.0086069107055664,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.0,0.0133514404296875,0.0133514404296875,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059282779693603,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0045299530029296,0.0,0.0107288360595703,0.0107288360595703,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059688091278076,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0,0.0112056732177734,0.0112056732177734,0.0045299530029296,0.0,0.0066212245396205,0.011444091796875,0.011444091796875,0.0095844268798828,0.0098705291748046,0.0200748443603515,0.496,0.0,1.36,0.0,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062083723533212,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0045299530029296,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0045299530029296,0.0081062316894531,0.0067949295043945,0.011444091796875,0.011444091796875,0.0081062316894531,0.0113248825073242,0.0202655792236328,0.496,0.0,1.36,0.0,0.848,0.848,113.256,5.048,2.976,0.0,1.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058248931286381,0.0075578689575195,0.0061988830566406,0.0061988830566406,0.0045299530029296,0.0054240226745605,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.0063896179199218,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.848,0.848,121.824,0.0,0.0,0.0,8.896,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060007939884318,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0045299530029296,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0045299530029296,0.00762939453125,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.848,0.848,113.256,0.0,0.0,0.0,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059771537780761,0.0081300735473632,0.00762939453125,0.00762939453125,0.0045299530029296,0.0,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.848,0.848,112.0,0.0,0.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061523914337158,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.0,0.0073909759521484,0.011444091796875,0.011444091796875,0.0093936920166015,0.0110626220703125,0.0196456909179687,0.496,0.0,1.36,0.0,0.848,0.848,112.0,3.744,4.232,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059807300567626,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0,0.0109672546386718,0.0109672546386718,0.0045299530029296,0.0,0.005960464477539,0.011444091796875,0.011444091796875,0.007486343383789,0.0098705291748046,0.0185012817382812,0.496,0.0,1.36,0.0,0.848,0.848,112.0,3.744,4.232,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060784816741943,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0045299530029296,0.0,0.0121593475341796,0.0121593475341796,0.0045299530029296,0.0,0.0059127807617187,0.011444091796875,0.011444091796875,0.0079154968261718,0.0100374221801757,0.0225305557250976,0.496,0.0,1.36,0.0,0.848,0.848,112.0,8.264,7.736,0.0,0.0,0
