time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061434094268496,0.0083446502685546,0.00762939453125,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,118.448,25.152,27.344,0.0038544336954752,0.0045299530029296,3562.416,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059972355021766,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.011444091796875,0.011444091796875,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.392,1.696,1.696,0.0,113.256,25.152,27.344,0.0066757202148437,0.0066757202148437,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066604520299751,0.009012222290039,0.0073909759521484,0.0073909759521484,0.0109672546386718,0.0109672546386718,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,127.576,25.152,27.344,0.0038128860747616,0.0042915344238281,16633.808,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006256103515625,0.0083684921264648,0.0126361846923828,0.0126361846923828,0.0092983245849609,0.0092983245849609,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060105323791503,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058889389038085,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0123977661132812,0.0123977661132812,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059521613429434,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0100135803222656,0.0100135803222656,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0088214874267578,0.0088214874267578,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057837263268617,0.00762939453125,0.0083446502685546,0.0083446502685546,0.0131130218505859,0.0131130218505859,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0081062316894531,0.0081062316894531,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059841877192407,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0069141387939453,0.0069141387939453,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0088214874267578,0.0088214874267578,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059401988983154,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0,0.0,0.496,1.36,1.696,1.696,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006037950515747,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0,0.0,0.496,1.36,1.696,1.696,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060150279334528,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0133514404296875,0.0133514404296875,0.0062147776285807,0.0085353851318359,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0113169352213541,0.0262260437011718,0.496,1.36,1.696,1.696,0.0,117.192,12.784,11.24,0.0050862630208333,0.0069141387939453,29.048,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059663952879644,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0,0.0,0.496,1.424,1.696,1.696,0.0,117.192,0.0,0.0,0.0051259994506835,0.0061750411987304,20.112,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0,0.0,0.496,1.424,1.696,1.696,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059948631780064,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0,0.0,0.496,1.36,1.696,1.696,0.0,113.256,0.0,0.0,0.00762939453125,0.00762939453125,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917762642476,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0063657760620117,0.008559226989746,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.010538101196289,0.0279664993286132,0.496,1.36,1.696,1.696,0.0,113.256,7.488,8.464,0.0054836273193359,0.0054836273193359,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059035286974551,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0109672546386718,0.0109672546386718,0.005650520324707,0.0081300735473632,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0105142593383789,0.0279664993286132,0.496,1.36,1.696,1.696,0.0,113.256,7.488,8.464,0.0066757202148437,0.0066757202148437,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059035286974551,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0059843063354492,0.0086545944213867,0.0,0.0,0.0,0.0,0.0110864639282226,0.0264406204223632,0.496,1.36,0.0,0.0,0.0,113.256,16.528,15.472,0.0066757202148437,0.0066757202148437,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059035286974551,0.0078678131103515,0.0072956085205078,0.0069141387939453,0.0077486038208007,0.0091791152954101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,113.256,0.0,0.0,0.0066757202148437,0.0066757202148437,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059035286974551,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0066757202148437,0.0066757202148437,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059035286974551,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0066757202148437,0.0066757202148437,1.192,0
