time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061762332916259,0.0085830688476562,0.0128746032714843,0.0128746032714843,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060419044872321,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0109672546386718,0.0109672546386718,0.0050862630208333,0.0065803527832031,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,119.536,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,19.464,0.006103515625,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005989826371517,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0064373016357421,0.0064373016357421,0.0066757202148437,0.0096797943115234,0.0061988830566406,0.0079631805419921,0.0108242034912109,0.0191688537597656,0.496,1.36,0.0,0.0,1.696,1.696,122.664,3.744,4.232,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,33.432,0.006103515625,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059962272644042,0.0081062316894531,0.0052452087402343,0.0052452087402343,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0058174133300781,0.0072479248046875,0.0096797943115234,0.0179290771484375,0.496,1.36,0.0,0.0,1.696,1.696,112.0,3.744,4.232,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060126556092826,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0133514404296875,0.0133514404296875,0.0047683715820312,0.0047683715820312,0.0062942504882812,0.0086069107055664,0.0105142593383789,0.0258445739746093,0.496,1.36,0.0,0.0,1.696,1.696,113.256,8.264,7.736,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,1.192,0.006103515625,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060709511361471,0.0081062316894531,0.011444091796875,0.011444091796875,0.0069141387939453,0.0069141387939453,0.0049046107700892,0.0066280364990234,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,127.912,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,40.904,0.006103515625,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061965224766495,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0169277191162109,0.0169277191162109,0.0078678131103515,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,116.016,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,3.664,0.006103515625,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061277133315356,0.0083446502685546,0.005960464477539,0.005960464477539,0.0078678131103515,0.0078678131103515,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,114.344,0.0,0.0,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,2.056,0.006103515625,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059616565704345,0.0078678131103515,0.005960464477539,0.005960464477539,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0070095062255859,0.0095367431640625,0.0098228454589843,0.0185966491699218,0.496,1.36,0.0,0.0,1.696,1.696,112.0,3.744,4.232,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060123972373433,0.0080823898315429,0.0061988830566406,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0054597854614257,0.0077486038208007,0.0062465667724609,0.0081539154052734,0.0101566314697265,0.0186920166015625,0.496,1.36,0.0,0.0,1.696,1.696,118.736,3.744,4.232,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,38.288,0.006103515625,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062736112680008,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0092983245849609,0.0092983245849609,0.0,0.0,0.006013446384006,0.0074386596679687,0.0101436268199573,0.0224113464355468,0.496,1.36,0.0,0.0,1.696,1.696,115.88,8.792,7.208,0.0,0.0072717666625976,0.0057220458984375,0.0081300735473632,0.0,0.006103515625,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060097924594221,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0054836273193359,0.0062465667724609,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.136,0.0,0.0,0.0,0.0,0.0,0.0,14.248,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006089756144813,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0107288360595703,0.0107288360595703,0.0040531158447265,0.0040531158447265,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,0.0,1.192,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061395749523865,0.0083446502685546,0.005960464477539,0.005960464477539,0.0112056732177734,0.0112056732177734,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,0.0,1.192,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061655044555664,0.0086069107055664,0.0081062316894531,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0060081481933593,0.0076770782470703,0.0101566314697265,0.0189781188964843,0.496,1.36,0.0,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061011314392089,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0068187713623046,0.008392333984375,0.0118255615234375,0.0216007232666015,0.496,1.36,0.0,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059866905212402,0.0081300735473632,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0058889389038085,0.0081539154052734,0.0103473663330078,0.0241041183471679,0.496,1.36,0.0,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0.0,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060569949266387,0.0083446502685546,0.0054836273193359,0.0054836273193359,0.011444091796875,0.011444091796875,0.0053644180297851,0.0075101852416992,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,127.032,0.0,0.0,0.0,0.0,0.0,0.0,15.648,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.00762939453125,0.0056266784667968,0.0052452087402343,0.0083446502685546,0.0094890594482421,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,0.0,1.192,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059569059912838,0.0078678131103515,0.0052452087402343,0.0052452087402343,0.0107288360595703,0.0107288360595703,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,0.0,1.192,0.0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006147878086982,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0100135803222656,0.0100135803222656,0.0064373016357421,0.0064373016357421,0.0064849853515625,0.0082969665527343,0.01220703125,0.0225067138671875,0.496,1.36,0.0,0.0,0.0,0.0,113.256,3.744,4.232,0.0,0.0,0.0,0.0,1.192,0.0,0
