time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062226062983422,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0061511993408203,0.0,0.0078678131103515,0.0107765197753906,0.0203609466552734,0.0088214874267578,0.0088214874267578,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063020791580427,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0063896179199218,0.0,0.008249282836914,0.0109195709228515,0.0201702117919921,0.0085830688476562,0.0085830688476562,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066864490509033,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0063737233479817,0.0,0.0094890594482421,0.0111579895019531,0.0268459320068359,0.0,0.0,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006645917892456,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0065803527832031,0.0,0.0091552734375,0.0111579895019531,0.0207424163818359,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00657320022583,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0061273574829101,0.0,0.0083446502685546,0.0112771987915039,0.0285148620605468,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061965224766495,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0063896179199218,0.496,1.424,0.0,0.0,0.0,0.0,127.016,0.0,193.032,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062364662809324,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0063419342041015,0.0,0.0076770782470703,0.0109195709228515,0.0214099884033203,0.0054359436035156,0.0071525573730468,0.496,1.424,0.0,0.0,4.232,3.744,121.48,0.0,35.416,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061668566803434,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.006103515625,0.0,0.0079631805419921,0.01220703125,0.0234127044677734,0.0050067901611328,0.005197525024414,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,5.296,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060593209615567,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0061988830566406,0.0,0.0084877014160156,0.0113646189371744,0.0275611877441406,0.0050501389936967,0.0071525573730468,0.496,1.424,0.0,0.0,11.968,12.008,129.896,0.0,91.224,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062477588653564,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0057697296142578,0.0,0.0071525573730468,0.0109195709228515,0.0208377838134765,0.0,0.0,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
