time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059270858764648,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061309337615966,0.0081300735473632,0.00762939453125,0.00762939453125,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059948631780064,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,1.192,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060838253343876,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0088214874267578,0.005960464477539,0.005960464477539,0.0088214874267578,0.0066280364990234,0.0086307525634765,0.011444091796875,0.0210285186767578,0.496,1.36,0.0,0.0,1.696,1.696,4.52,3.504,113.256,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,1.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062380435962032,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0042690066840704,0.0102519989013671,0.0102519989013671,0.0050067901611328,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,144.408,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,934.28,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061300856557058,0.0083446502685546,0.00762939453125,0.00762939453125,0.0044634175855059,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,117.192,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,356.376,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006190538406372,0.0083684921264648,0.0081062316894531,0.0081062316894531,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006017400257623,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0052452087402343,0.0073909759521484,0.0073909759521484,0.0063896179199218,0.0064373016357421,0.0085830688476562,0.0120162963867187,0.0221729278564453,0.496,1.36,0.0,0.0,1.696,1.696,3.744,4.232,117.192,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,20.48,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061540320368096,0.0083208084106445,0.0073909759521484,0.0073909759521484,0.0055858067103794,0.0085830688476562,0.0085830688476562,0.0067710876464843,0.0069141387939453,0.008249282836914,0.011301040649414,0.0208854675292968,0.496,1.36,0.0,0.0,1.696,1.696,3.744,4.232,116.976,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,15.064,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063661319106372,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0054585306267989,0.0121593475341796,0.0121593475341796,0.0069141387939453,0.0060558319091796,0.0086069107055664,0.0102758407592773,0.023651123046875,0.496,1.36,0.0,0.0,1.696,1.696,8.264,7.736,114.28,0.0,0.0128746032714843,0.0166893005371093,0.0126361846923828,0.0172138214111328,39.352,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062973345097024,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0055161389437588,0.0128746032714843,0.0128746032714843,0.0075578689575195,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,44.96,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062681771264287,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.005396929654208,0.0104904174804687,0.0104904174804687,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.912,0.0,0.0,0.0,0.0,0.0,23.896,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062036277049809,0.0081062316894531,0.00762939453125,0.00762939453125,0.0052452087402343,0.0085830688476562,0.0085830688476562,0.0063657760620117,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,7.408,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060529851201754,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0073909759521484,0.0059127807617187,0.0075817108154296,0.0112533569335937,0.0217914581298828,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,114.392,0.0,0.0,0.0,0.0,0.0,2.104,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062496355264493,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0057220458984375,0.0147819519042968,0.0147819519042968,0.0072479248046875,0.0064373016357421,0.008392333984375,0.0109672546386718,0.0202178955078125,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,118.224,0.0,0.0,0.0,0.0,0.0,16.616,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061775321391091,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0053330471641138,0.0064373016357421,0.0064373016357421,0.0065326690673828,0.006103515625,0.0088214874267578,0.0111103057861328,0.0262260437011718,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,114.808,0.0,0.0,0.0,0.0,0.0,47.704,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060641765594482,0.0083684921264648,0.0066280364990234,0.0064373016357421,0.0055313110351562,0.0090599060058593,0.0111579895019531,0.0064373016357421,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,20.968,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063985439356911,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0041480612965811,0.0107288360595703,0.0107288360595703,0.005197525024414,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,122.696,0.0,0.0,0.0,0.0,0.0,1008.168,0
