time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064003467559814,0.0086069107055664,0.005960464477539,0.0064373016357421,0.005960464477539,0.0,0.0064373016357421,0.0,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0078678131103515,0.0078678131103515,0.0183582305908203,0,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0.0064373016357421,0.0064373016357421,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062914727960975,0.0088214874267578,0.005960464477539,0.0064373016357421,0.005960464477539,0.0050820802387438,0.0064373016357421,0.0068187713623046,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0116825103759765,0.0116825103759765,0.0183582305908203,0,0.496,1.36,0.848,0.848,127.248,25.152,27.344,0.0,40.872,0.0071525573730468,0.0071525573730468,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060415267944335,0.0083446502685546,0.005960464477539,0.0064373016357421,0.005960464477539,0.0,0.0064373016357421,0.0,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0085830688476562,0.0085830688476562,0.0183582305908203,0,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0,0.0,0.0078678131103515,0.0078678131103515,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060312818772722,0.0078678131103515,0.005960464477539,0.0064373016357421,0.005960464477539,0.0073115030924479,0.0064373016357421,0.0080585479736328,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0083446502685546,0.0083446502685546,0.0183582305908203,0,0.496,1.36,0.848,0.848,116.784,25.152,27.344,0.0,6.312,0.0081062316894531,0.0081062316894531,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062130465365872,0.0081062316894531,0.0,0.0,0.0,0.0048776467641194,0.0,0.0058174133300781,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0081062316894531,0.0081062316894531,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.648,25.152,27.344,0.0,50.544,0.0073909759521484,0.0073909759521484,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060454453572188,0.0081062316894531,0.0,0.0,0.0,0.0051617622375488,0.0,0.0056028366088867,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0088214874267578,0.0088214874267578,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.648,25.152,27.344,0.0,41.168,0.0064373016357421,0.0064373016357421,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064974964255153,0.0085830688476562,0.0,0.0,0.0,0.0046005955448857,0.0,0.0054836273193359,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0157356262207031,0.0157356262207031,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.648,25.152,27.344,0.0,57.304,0.00762939453125,0.00762939453125,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060921284689832,0.0081062316894531,0.0064373016357421,0.0042915344238281,0.0064373016357421,0.005043469942533,0.0042915344238281,0.005960464477539,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0083446502685546,0.0083446502685546,0.0183582305908203,0,0.496,1.424,0.848,0.848,114.392,25.152,27.344,0.0,27.352,0.0116825103759765,0.0116825103759765,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061122932244296,0.0083446502685546,0.0,0.0,0.0,0.0061988830566406,0.0,0.0061988830566406,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0102519989013671,0.0102519989013671,0.0183582305908203,0,0.496,1.424,0.0,0.0,114.392,25.152,27.344,0.0,2.104,0.0073909759521484,0.0073909759521484,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060363788509843,0.0081062316894531,0.0,0.0,0.0,0.0054836273193359,0.0,0.006866455078125,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0090599060058593,0.0090599060058593,0.0183582305908203,0,0.496,1.424,0.0,0.0,114.392,25.152,27.344,0.0,14.728,0.0061988830566406,0.0061988830566406,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059782569088152,0.0078678131103515,0.0,0.0,0.0,0.0066757202148437,0.0,0.0076770782470703,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0128746032714843,0.0128746032714843,0.0183582305908203,0,0.496,1.424,0.0,0.0,114.392,25.152,27.344,0.0,6.312,0.0066757202148437,0.0066757202148437,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060666905771387,0.0078678131103515,0.0,0.0,0.0,0.0060796737670898,0.0,0.0075101852416992,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0128746032714843,0.0128746032714843,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.648,25.152,27.344,0.0,13.376,0.0092983245849609,0.0092983245849609,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063139407788936,0.0081062316894531,0.0,0.0,0.0,0.0061194101969401,0.0,0.0064373016357421,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0069141387939453,0.0069141387939453,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.088,25.152,27.344,0.0,5.4,0.00762939453125,0.00762939453125,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064077943858533,0.0085830688476562,0.0,0.0,0.0,0.0050306320190429,0.0,0.0060081481933593,0.0063146863664899,0.0085353851318359,0.0092847006661551,0.0128746032714843,0.0128746032714843,0.0183582305908203,0,0.496,1.424,0.0,0.0,115.648,25.152,27.344,0.0,20.128,0.0069141387939453,0.0069141387939453,0
