time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064614890278249,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0090599060058593,0.0090599060058593,0.0043242585425283,0.0063146863664899,0.005960464477539,0.0086784362792968,0.0090394701276506,0.0174522399902343,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,141.608,0.0,537.384,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061526227353224,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0044465065002441,0.0063146863664899,0.0052690505981445,0.0086784362792968,0.0090394701276506,0.0174522399902343,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,113.256,0.0,155.856,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061476230621337,0.0081062316894531,0.00762939453125,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0063146863664899,0.0,0.0086784362792968,0.0090394701276506,0.0174522399902343,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060272216796875,0.0083446502685546,0.009775161743164,0.009775161743164,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061416625976562,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006113052368164,0.0081300735473632,0.0112056732177734,0.0112056732177734,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059486028566882,0.0081062316894531,0.00762939453125,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0092983245849609,0.0,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062403471573539,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0150203704833984,0.0150203704833984,0.0039475304739815,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,144.408,0.0,1531.824,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064679891756265,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0038448586521378,0.0064849853515625,0.0045299530029296,0.0085353851318359,0.0113487243652343,0.0208854675292968,0.0,0.0,0.496,1.36,1.696,1.696,4.52,3.504,118.448,0.0,9614.912,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006260871887207,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0129938125610351,0.0167131423950195,0.0132322311401367,0.0171422958374023,0
