time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006726644571545,0.0089406967163085,0.0043115883230048,0.0054836273193359,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,7.008,143.152,33.33333333333333,25.152,27.344,100.0,0.0,1290.707516670227,1123.5387921333313,0.0,0.0,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,824.936,0
1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063562393188476,0.0083684921264648,0.0043362379074096,0.0052452087402343,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.096,5.728,114.152,25.0,25.152,27.344,40.0,0.0,1245.54705619812,1067.010243733724,-875.4989624023438,-1067.383050918579,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,94.368,0
2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064467909324228,0.0083446502685546,0.0051856040954589,0.0075101852416992,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,8.88,9.04,117.192,20.0,25.152,27.344,20.0,0.0,1223.4384775161743,1010.7382535934448,-891.2694931030273,-1138.330519199371,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,54.0,0
3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063025951385498,0.0083684921264648,0.0085830688476562,0.0085830688476562,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.576,6.864,112.696,20.0,25.152,27.344,20.0,0.0,1223.0832815170288,1069.014549255371,-842.9476022720337,-1010.9936594963074,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,1.192,0
4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006469169465622,0.0083208084106445,0.0045815029659786,0.0062942504882812,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,7.008,123.08,33.33333333333333,25.152,27.344,20.0,0.0,1285.6587409973145,1121.9856142997742,-891.8153762817383,-1051.1019825935364,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,270.968,0
5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066104813001642,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.096,5.728,113.256,25.0,25.152,27.344,40.0,0.0,1241.9912338256836,1067.323525746663,-876.8588542938232,-1066.9635931650798,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,1.192,0
6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060963630676269,0.0081300735473632,0.0,0.0,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,8.88,9.04,112.0,20.0,25.152,27.344,20.0,0.0,1220.293664932251,1012.2762322425842,-893.1936979293823,-1138.5989785194397,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,0.0,0
7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066202465850527,0.0083446502685546,0.0044890812465122,0.0056266784667968,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.576,6.864,127.016,20.0,25.152,27.344,20.0,0.0,1245.994997024536,1091.0067558288574,-848.6125230789185,-1014.4599080085754,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,249.016,0
8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068832985797331,0.0088214874267578,0.0041687127315636,0.0047683715820312,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,6.224,117.192,40.0,25.152,27.344,20.0,0.0,1416.727876663208,1256.3228607177734,-896.2572813034058,-1051.9084930419922,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,264.888,0
9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064657695257841,0.0081062316894531,0.0054836273193359,0.0056743621826171,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,5.6,6.512,117.192,20.0,25.152,27.344,25.0,0.0,1784.7163677215576,1538.2825136184692,-1041.624355316162,-1227.129062016805,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,12.656,0
10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069011556039942,0.0090599060058593,0.0040403576598916,0.0047683715820312,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,5.6,4.944,118.448,33.33333333333333,25.152,27.344,25.0,0.0,1389.597487449646,1292.0140027999878,-1201.9300937652588,-1439.9268627166748,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,7905.656,0
11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066840233494393,0.0088214874267578,0.0042284236234777,0.0051736831665039,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,4.752,5.232,117.888,0.0,25.152,27.344,33.33333333333333,0.0,1425.1683235168457,1146.02526028951,-1260.0675106048584,-1582.416296005249,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,294.992,0
12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071183289631758,0.0090599060058593,0.0040912018797268,0.0047683715820312,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,7.008,118.448,33.33333333333333,25.152,27.344,20.0,0.0,1270.2321290969849,1104.7175526618958,-896.2177515029907,-1211.5318775177002,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,2870.984,0
