time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063180923461914,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0074148178100585,0.0,0.0102519989013671,0.0,0.0102519989013671,0.0114679336547851,0.0098705291748046,0.0232219696044921,0.0,0.496,1.36,0.0,1.696,1.696,7.736,8.264,112.0,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,0.0,0.0075101852416992,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059806292329854,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0052452087402343,0.0109672546386718,0.0052452087402343,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0057220458984375,0.0066757202148437,0.0060796737670898,1.192,0.0075101852416992,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063566769954662,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.005960464477539,0.003931669383522,0.0085830688476562,0.0047683715820312,0.0085830688476562,0.00762939453125,0.0103473663330078,0.0198841094970703,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,144.408,0.0,0.0,0.0,0.0,4213.816,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006031634202644,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0045299530029296,0.0081062316894531,0.0045299530029296,0.0081062316894531,0.0073909759521484,0.0115394592285156,0.0217437744140625,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061870214357898,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0058333079020182,0.0047087669372558,0.0123977661132812,0.0065565109252929,0.0123977661132812,0.0078678131103515,0.0101248423258463,0.0260829925537109,0.0,0.496,1.424,0.0,0.0,0.0,11.968,12.008,117.192,0.0,0.0,0.0,0.0,37.056,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006040334701538,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0056743621826171,0.0,0.0104904174804687,0.0,0.0104904174804687,0.0071525573730468,0.0109672546386718,0.0206947326660156,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060009956359863,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.005748536851671,0.0,0.0064373016357421,0.0,0.0064373016357421,0.0067710876464843,0.0100786035711115,0.0257492065429687,0.0,0.496,1.36,0.0,0.0,0.0,7.208,8.792,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059819221496582,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0088214874267578,0.0,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059569059912838,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0058650970458984,0.0047683715820312,0.011444091796875,0.0047683715820312,0.011444091796875,0.00762939453125,0.0108242034912109,0.0209331512451171,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062012553808107,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0063896179199218,0.0085830688476562,0.0150203704833984,0.0085830688476562,0.0150203704833984,0.0082015991210937,0.011444091796875,0.0220298767089843,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
