time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062909456762937,0.0088214874267578,0.0061988830566406,0.0,0.0,0.0078439712524414,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0083446502685546,0.0083446502685546,0.0178813934326171,0,0.496,1.36,0.0,0.0,116.048,25.152,27.344,0.0,24.944,0.0083446502685546,0.0083446502685546,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0057766093543512,0.00762939453125,0.0040653424385266,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0128746032714843,0.0128746032714843,0.0178813934326171,0,0.496,1.36,0.0,0.0,114.44,25.152,27.344,0.0,836.768,0.0085830688476562,0.0085830688476562,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058293342590332,0.0074148178100585,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0088214874267578,0.0088214874267578,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.00762939453125,0.00762939453125,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060206592673122,0.0081062316894531,0.0055895911322699,0.0,0.0,0.0074386596679687,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0073909759521484,0.0073909759521484,0.0178813934326171,0,0.496,1.36,0.0,0.0,117.216,25.152,27.344,0.0,29.032,0.0069141387939453,0.0069141387939453,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059950351715087,0.0078678131103515,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0088214874267578,0.0088214874267578,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0066757202148437,0.0066757202148437,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058430344311159,0.0078678131103515,0.0083446502685546,0.0,0.0,0.0083446502685546,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0071525573730468,0.0071525573730468,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0064373016357421,0.0064373016357421,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059557198291987,0.0078678131103515,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0112056732177734,0.0112056732177734,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0073909759521484,0.0073909759521484,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060446819855799,0.00762939453125,0.0064373016357421,0.0,0.0,0.0064373016357421,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0073909759521484,0.0073909759521484,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0078678131103515,0.0078678131103515,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060999393463134,0.0081300735473632,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0054836273193359,0.0054836273193359,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0104904174804687,0.0104904174804687,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006031634202644,0.0078678131103515,0.0056425730387369,0.0,0.0,0.0081062316894531,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.013589859008789,0.013589859008789,0.0178813934326171,0,0.496,1.36,0.0,0.0,117.192,25.152,27.344,0.0,31.864,0.0069141387939453,0.0069141387939453,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061568091897403,0.0083446502685546,0.0047056298506887,0.0,0.0,0.0061988830566406,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0092983245849609,0.0092983245849609,0.0178813934326171,0,0.496,1.36,0.0,0.0,132.768,25.152,27.344,0.0,210.264,0.0092983245849609,0.0092983245849609,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060832146370765,0.0083208084106445,0.0043153762817382,0.0,0.0,0.0058174133300781,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0054836273193359,0.0054836273193359,0.0178813934326171,0,0.496,1.36,0.0,0.0,122.384,25.152,27.344,0.0,236.704,0.0100135803222656,0.0100135803222656,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064408250630195,0.0090599060058593,0.003951424766185,0.0,0.0,0.0047683715820312,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0112056732177734,0.0112056732177734,0.0178813934326171,0,0.496,1.36,0.0,0.0,123.64,25.152,27.344,0.0,3178.824,0.0090599060058593,0.0090599060058593,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005931996587497,0.0078678131103515,0.0040450338589943,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.013589859008789,0.013589859008789,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1306.864,0.0107288360595703,0.0107288360595703,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060506127960053,0.0081062316894531,0.0042915344238281,0.0,0.0,0.0042915344238281,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0128746032714843,0.0128746032714843,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.00762939453125,0.00762939453125,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060760974884033,0.0081300735473632,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0104904174804687,0.0104904174804687,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0078678131103515,0.0078678131103515,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059270858764648,0.00762939453125,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0088214874267578,0.0088214874267578,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0064373016357421,0.0064373016357421,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059032440185546,0.0081062316894531,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.011444091796875,0.011444091796875,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0071525573730468,0.0071525573730468,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060617923736572,0.0081062316894531,0.0,0.0,0.0,0.0,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0103712081909179,0.0104665756225585,0.0178813934326171,0,1.344,2.208,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0061988830566406,0.0075340270996093,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059628250575301,0.0078678131103515,0.0069141387939453,0.0,0.0,0.0086307525634765,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0092983245849609,0.0092983245849609,0.0178813934326171,0,0.496,1.36,0.0,0.0,118.448,25.152,27.344,0.0,6.16,0.0085830688476562,0.0085830688476562,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058631991865623,0.00762939453125,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.011444091796875,0.011444091796875,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0085830688476562,0.0085830688476562,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061205963590251,0.0081062316894531,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0090599060058593,0.0090599060058593,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.00762939453125,0.00762939453125,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062301320937073,0.0083446502685546,0.0039007149490655,0.0,0.0,0.0045299530029296,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0061988830566406,0.0061988830566406,0.0178813934326171,0,0.496,1.36,0.0,0.0,140.992,25.152,27.344,0.0,2791.112,0.0066757202148437,0.0066757202148437,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059819221496582,0.0078678131103515,0.0046491622924804,0.0,0.0,0.005650520324707,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.009775161743164,0.009775161743164,0.0178813934326171,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,30.048,0.0085830688476562,0.0085830688476562,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063535010460579,0.0085830688476562,0.0040940209931018,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0121593475341796,0.0121593475341796,0.0178813934326171,0,0.496,1.36,0.0,0.0,122.384,25.152,27.344,0.0,2086.016,0.0071525573730468,0.0071525573730468,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065321946025487,0.0090599060058593,0.0040763463729467,0.0,0.0,0.0050067901611328,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0143051147460937,0.0143051147460937,0.0178813934326171,0,0.496,1.36,0.0,0.0,117.192,25.152,27.344,0.0,3693.936,0.009775161743164,0.009775161743164,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060513468071965,0.0083446502685546,0.0047192854039809,0.0,0.0,0.0067949295043945,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0138282775878906,0.0138282775878906,0.0178813934326171,0,0.496,1.36,0.0,0.0,118.448,25.152,27.344,0.0,270.32,0.0071525573730468,0.0071525573730468,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061372026282163,0.0085830688476562,0.0043180253770616,0.0,0.0,0.0054836273193359,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.0085830688476562,0.0085830688476562,0.0178813934326171,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,455.384,0.0095367431640625,0.0095367431640625,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063515649053263,0.0087738037109375,0.0055053017356178,0.0129938125610351,0.011444091796875,0.0073909759521484,0.0062874385288783,0.0169038772583007,0.0171661376953125,0.0088214874267578,0.0094686235700334,0.0197887420654296,0.0197887420654296,0.0178813934326171,0,0.496,1.36,1.696,1.696,121.48,25.152,27.344,0.0,80.632,0.0078678131103515,0.0078678131103515,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060980592794086,0.0081062316894531,0.004273194533128,0.0,0.0,0.0059127807617187,0.0062874385288783,0.0,0.0,0.0088214874267578,0.0094686235700334,0.005960464477539,0.005960464477539,0.0178813934326171,0,0.496,1.36,0.0,0.0,117.192,25.152,27.344,0.0,130.568,0.0071525573730468,0.0071525573730468,0
