time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068892293901585,0.0092983245849609,0.0081062316894531,0.0081062316894531,0.0,0.0058809916178385,0.0038401285807291,0.0090599060058593,0.0090599060058593,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,861.08,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057446956634521,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0058809916178385,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059687676121346,0.00762939453125,0.0100135803222656,0.0100135803222656,0.0,0.0058809916178385,0.0069141387939453,0.0143051147460937,0.0143051147460937,0.0,0.0069141387939453,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059474166946031,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0,0.0058809916178385,0.0046491622924804,0.0107288360595703,0.0107288360595703,0.0,0.0064849853515625,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,113.256,73.152,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069328382903454,0.0092267990112304,0.0088214874267578,0.0088214874267578,0.0,0.0058809916178385,0.0037899328103619,0.0152587890625,0.0152587890625,0.0,0.0042915344238281,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,126.208,16898.744,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060033798217773,0.0083684921264648,0.0085830688476562,0.0085830688476562,0.0,0.0058809916178385,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.392,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060319900512695,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0058809916178385,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058746337890625,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0058809916178385,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060247439964144,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0058809916178385,0.0044657633854792,0.0069141387939453,0.0069141387939453,0.0,0.0061988830566406,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,132.416,248.992,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012436366317,0.0083208084106445,0.0064373016357421,0.0064373016357421,0.0,0.0058809916178385,0.005203744639521,0.0109672546386718,0.0109672546386718,0.0,0.0070571899414062,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.6,58.968,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060123972373433,0.0078439712524414,0.0061988830566406,0.0061988830566406,0.0,0.0058809916178385,0.0049927655388327,0.0069141387939453,0.0069141387939453,0.0,0.0058174133300781,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,116.272,38.984,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058821777799236,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.0058809916178385,0.0045299530029296,0.011444091796875,0.011444091796875,0.0,0.0045299530029296,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060133158866995,0.0081062316894531,0.009775161743164,0.009775161743164,0.0,0.0058809916178385,0.0050718134099786,0.0107288360595703,0.0107288360595703,0.0,0.0064373016357421,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,118.584,27.928,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060197725817931,0.0081062316894531,0.005960464477539,0.005960464477539,0.0,0.0058809916178385,0.004887580871582,0.0104904174804687,0.0104904174804687,0.0,0.0062465667724609,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.192,59.248,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060731498756218,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0058809916178385,0.0046439792798913,0.0126361846923828,0.0126361846923828,0.0,0.0058650970458984,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,116.328,164.824,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057995319366455,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0058809916178385,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
