time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063542702897864,0.0088214874267578,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0121593475341796,0.0121593475341796,0.0064849853515625,0.0086307525634765,0.496,1.424,6.448,6.256,8.264,7.736,113.256,20.0,40.0,549.0590929985046,703.638482093811,0.0107049942016601,0.0266075134277343,-361.570405960083,-533.6392720540365,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061425082202028,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0045299530029296,0.0078678131103515,0.0078678131103515,0.0,0.0,0.496,1.36,5.6,6.544,0.0,0.0,114.376,25.0,20.0,534.3409379323324,719.8276519775391,0.0,0.0,-321.3493824005127,-480.5189371109009,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062024773065768,0.008392333984375,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0154972076416015,0.0154972076416015,0.0,0.0,0.496,1.36,6.096,5.76,0.0,0.0,112.136,40.0,25.0,533.0419540405273,715.6357765197754,0.0,0.0,-363.0972862243652,-533.7892373402914,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061368942260742,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0154972076416015,0.0154972076416015,0.0060081481933593,0.0079154968261718,0.496,1.36,9.856,10.24,3.744,4.232,112.0,16.666666666666664,16.666666666666664,521.7353343963623,747.2519397735596,0.0114917755126953,0.0216484069824218,-404.98952865600586,-575.9055137634277,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060250606442907,0.0083446502685546,0.00762939453125,0.00762939453125,0.0052452087402343,0.0058174133300781,0.0090599060058593,0.0090599060058593,0.0059366226196289,0.0081777572631835,0.496,1.36,6.448,6.256,7.488,8.464,120.568,20.0,40.0,543.5341000556946,715.3881072998047,0.0107765197753906,0.0282049179077148,-361.42611503601074,-526.9746780395508,7.704,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061118602752685,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0063101450602213,0.0090599060058593,0.496,1.424,5.6,6.544,12.008,11.968,112.0,25.0,20.0,533.7325731913248,731.7158222198486,0.0111579895019531,0.027322769165039,-305.2851676940918,-476.77111625671387,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060701370239257,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0064849853515625,0.0086307525634765,0.496,1.36,6.096,5.76,8.264,7.736,112.0,40.0,25.0,533.7333679199219,731.0371398925781,0.0115633010864257,0.0287771224975585,-352.0442485809326,-534.3177318572998,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061644843561732,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0052452087402343,0.0052452087402343,0.0100135803222656,0.0100135803222656,0.0,0.0,0.496,1.36,9.856,10.24,0.0,0.0,113.256,16.666666666666664,16.666666666666664,521.7159748077393,761.7326736450195,0.0,0.0,-396.2592601776123,-578.9833545684814,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062617496471499,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0061988830566406,0.0073909759521484,0.0073909759521484,0.0,0.0,0.496,1.36,6.448,6.256,0.0,0.0,113.256,20.0,40.0,549.105167388916,710.6051206588745,0.0,0.0,-353.62510681152344,-533.6480935414633,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060814530102174,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.0045299530029296,0.0121593475341796,0.0121593475341796,0.005960464477539,0.0074386596679687,0.496,1.36,5.6,6.544,3.744,4.232,113.256,25.0,20.0,533.3353678385416,725.5476951599121,0.0112056732177734,0.0209808349609375,-311.02495193481445,-478.27208042144775,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061327868168896,0.008559226989746,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0069379806518554,0.0095605850219726,0.496,1.36,6.096,5.76,7.488,8.464,113.12,40.0,25.0,533.2909425099691,725.2970218658447,0.0118255615234375,0.030064582824707,-356.18529319763184,-534.0126355489095,0.0,0
