time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074724159618415,0.0100135803222656,0.0107288360595703,0.0107288360595703,0.0064443139468922,0.0152587890625,0.0152587890625,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038735176387586,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,118.448,0.0,16596.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073390431923441,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0064443139468922,0.013589859008789,0.013589859008789,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.003841919462235,0.0211477279663085,0.0205039978027343,0.0042915344238281,0.496,1.424,1.696,1.696,25.68,26.816,118.448,0.0,52653.904,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072080310028378,0.009775161743164,0.011444091796875,0.011444091796875,0.0064443139468922,0.0112056732177734,0.0112056732177734,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0039761009085219,0.0211477279663085,0.0205039978027343,0.0047683715820312,0.496,1.424,1.696,1.696,25.68,26.816,118.448,0.0,2988.088,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067377090454101,0.0090837478637695,0.0083446502685546,0.0083446502685546,0.0064443139468922,0.0078678131103515,0.0078678131103515,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066045504897388,0.0090599060058593,0.00762939453125,0.00762939453125,0.0064443139468922,0.0133514404296875,0.0133514404296875,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0038904859530215,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,117.192,0.0,4876.568,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062854728888516,0.0085830688476562,0.00762939453125,0.00762939453125,0.0064443139468922,0.0069141387939453,0.0069141387939453,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0071525573730468,0.0211477279663085,0.0205039978027343,0.0071525573730468,0.496,1.36,1.696,1.696,25.68,26.816,116.12,0.0,3.832,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060045719146728,0.0076532363891601,0.0069141387939453,0.0069141387939453,0.0064443139468922,0.0066757202148437,0.0066757202148437,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0078678131103515,0.00762939453125,0.00762939453125,0.0064443139468922,0.0104904174804687,0.0104904174804687,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062878452130218,0.0085830688476562,0.009775161743164,0.009775161743164,0.0064443139468922,0.0116825103759765,0.0116825103759765,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0085830688476562,0.0211477279663085,0.0205039978027343,0.0085830688476562,0.496,1.36,1.696,1.696,25.68,26.816,113.256,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062390129164894,0.0083208084106445,0.0073909759521484,0.0073909759521484,0.0064443139468922,0.0123977661132812,0.0123977661132812,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0065565109252929,0.0211477279663085,0.0205039978027343,0.0076055526733398,0.496,1.36,1.696,1.696,25.68,26.816,118.448,0.0,6.944,0
