time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006338357925415,0.0083684921264648,0.00762939453125,0.00762939453125,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,112.0,33.33333333333333,20.0,25.152,27.344,-113.0977153778076,-268.4949040412903,336.6015553474426,546.108078956604,0.0215053558349609,0.0097547258649553,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006040334701538,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,112.0,25.0,40.0,25.152,27.344,-90.59500694274902,-266.6294574737549,266.6568756103516,478.366756439209,0.0215053558349609,0.0097547258649553,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059795379638671,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,8.88,9.072,112.0,20.0,20.0,25.152,27.344,-114.42508697509764,-320.5089569091797,212.5796675682068,444.05865669250494,0.0215053558349609,0.0097547258649553,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062961483476173,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.0107288360595703,0.0107288360595703,0.0057220458984375,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,113.256,20.0,20.0,25.152,27.344,-48.32150936126709,-212.2474312782288,251.1003613471985,443.5034275054932,0.0215053558349609,0.0097547258649553,1.192,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060407241972366,0.00762939453125,0.0083446502685546,0.0083446502685546,0.0049273173014322,0.0100135803222656,0.0100135803222656,0.0056266784667968,0.0062670026506696,0.0078678131103515,0.496,1.424,6.448,7.04,118.448,33.33333333333333,20.0,25.152,27.344,-116.20635986328122,-268.2420611381531,336.3412022590637,546.0569858551025,0.0215053558349609,0.0097547258649553,19.384,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.00702240616803,0.0093936920166015,0.0102519989013671,0.0102519989013671,0.0038893152401498,0.0095367431640625,0.0095367431640625,0.0045299530029296,0.0062670026506696,0.0078678131103515,0.496,1.424,6.096,5.76,144.408,25.0,40.0,25.152,27.344,-94.61593627929688,-266.9915358225505,266.7214075724284,476.6703128814697,0.0215053558349609,0.0097547258649553,39416.304,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0071193448346645,0.0095367431640625,0.0123977661132812,0.0123977661132812,0.0039227419389338,0.0121593475341796,0.0121593475341796,0.0045299530029296,0.0062670026506696,0.0078678131103515,0.496,1.424,8.88,10.24,117.192,16.666666666666664,20.0,25.152,27.344,-39.56980705261231,-261.78340911865234,209.1413736343384,442.1666383743287,0.0215053558349609,0.0097547258649553,3740.616,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062429904937744,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0062670026506696,0.0078678131103515,0.496,1.392,6.576,5.76,112.0,25.0,20.0,25.152,27.344,-81.01358413696289,-267.0085430145264,250.4974603652954,453.9664268493653,0.0215053558349609,0.0097547258649553,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006415843963623,0.0088214874267578,0.0116825103759765,0.0116825103759765,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,112.0,33.33333333333333,20.0,25.152,27.344,-105.7035684585571,-268.7382698059082,340.3432965278625,561.4007711410522,0.0215053558349609,0.0097547258649553,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060617923736572,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,112.0,25.0,40.0,25.152,27.344,-83.37750434875488,-267.0186360677083,266.6600545247396,484.86175537109375,0.0215053558349609,0.0097547258649553,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062791427763381,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0104904174804687,0.0104904174804687,0.0063896179199218,0.0062670026506696,0.0078678131103515,0.496,1.424,8.88,9.072,117.808,20.0,20.0,25.152,27.344,-107.82868862152095,-322.6986527442932,210.00981330871585,449.9752044677735,0.0215053558349609,0.0097547258649553,5.456,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0083446502685546,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,113.256,20.0,20.0,25.152,27.344,-38.00537586212158,-210.0343108177185,251.6732215881348,449.76313114166265,0.0215053558349609,0.0097547258649553,1.192,0
