time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060387511751545,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0104904174804687,0.0104904174804687,0.006239754813058,0.0045299530029296,0.0045299530029296,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059806292329854,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0169277191162109,0.0169277191162109,0.006239754813058,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006291403699277,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0112056732177734,0.0112056732177734,0.006239754813058,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028413772583,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0073909759521484,0.0073909759521484,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065966350276295,0.0092029571533203,0.0071525573730468,0.0071525573730468,0.0,0.0,0.011444091796875,0.011444091796875,0.006239754813058,0.0039016690235657,0.0045299530029296,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,142.592,25.152,27.344,0.0,0.0,11081.296,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068485736846923,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0066757202148437,0.0066757202148437,0.006239754813058,0.003979756281926,0.0046014785766601,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,2287.568,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063507118035311,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.011444091796875,0.011444091796875,0.006239754813058,0.005960464477539,0.005960464477539,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.392,0.0,0.0,115.032,25.152,27.344,0.0,0.0,2.744,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00597469842256,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0119209289550781,0.0119209289550781,0.006239754813058,0.0057220458984375,0.0057220458984375,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060233310680484,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0064373016357421,0.0064373016357421,0.006239754813058,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060019801505169,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0085830688476562,0.0085830688476562,0.006239754813058,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.392,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
