time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060221449059633,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0045299530029296,0.0045299530029296,0.0073909759521484,0.0073909759521484,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059414858841777,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.009775161743164,0.009775161743164,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062593773229798,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0123977661132812,0.0123977661132812,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059378147125244,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061538088974074,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0056028366088867,0.007033348083496,0.0095367431640625,0.0095367431640625,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,117.192,25.152,27.344,18.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067602083520981,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0038586987518117,0.0045299530029296,0.0126361846923828,0.0126361846923828,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,143.152,25.152,27.344,23628.104,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007399279086744,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0038750984861295,0.0045299530029296,0.0095367431640625,0.0095367431640625,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,117.192,25.152,27.344,19485.848,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062237924604273,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0050663948059082,0.0056743621826171,0.0088214874267578,0.0088214874267578,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,113.256,25.152,27.344,16.896,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060114694471976,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0045299530029296,0.0109672546386718,0.0109672546386718,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,113.256,25.152,27.344,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061680428424284,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.0,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0,0.0110864639282226,0.0,0.0,0.496,1.36,1.696,1.696,113.256,0.0,0.0,1.192,0
