time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068244367542833,0.0095367431640625,0.0042387547383781,0.0052452087402343,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,2237.76,0.0078678131103515,0.0078678131103515,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063098303162225,0.0085830688476562,0.0043252928067097,0.0052452087402343,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,954.824,0.0073909759521484,0.0073909759521484,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064669556878692,0.0090599060058593,0.0043000493730817,0.0054836273193359,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0166893005371093,0.0166893005371093,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,1259.92,0.009775161743164,0.009775161743164,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006593875030973,0.0090599060058593,0.004242206441945,0.0052452087402343,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,2333.512,0.0064373016357421,0.0064373016357421,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064527217428482,0.0085830688476562,0.0044256448745727,0.0056982040405273,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,919.52,0.0061988830566406,0.0061988830566406,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060162140955379,0.0078678131103515,0.0044277736118861,0.0050067901611328,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,110.576,0.0083446502685546,0.0083446502685546,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060631497071521,0.0083208084106445,0.0049273173014322,0.0057697296142578,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,17.064,0.0071525573730468,0.0071525573730468,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060363788509843,0.0081062316894531,0.0050067901611328,0.0050067901611328,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0078678131103515,0.0078678131103515,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060015711291082,0.0081062316894531,0.0059127807617187,0.0075340270996093,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,119.576,25.152,27.344,0.0,12.68,0.00762939453125,0.00762939453125,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0073909759521484,0.0073909759521484,0
