time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066008544774447,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0071525573730468,0.0039207568867081,0.0047683715820312,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0069141387939453,0.0069141387939453,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,144.408,30.848,0.0,11276.96,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065108436850172,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0038974075217127,0.0045299530029296,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0138282775878906,0.0138282775878906,0.0091969966888427,0.0162601470947265,0.496,0.0,1.424,0.0,1.696,1.696,29.672,113.256,30.848,0.0,7860.952,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060802668481323,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0078678131103515,0.0078678131103515,0.0091969966888427,0.0162601470947265,0.496,0.0,1.424,0.0,1.696,1.696,29.672,113.256,30.848,0.0,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060451030731201,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0,0.0,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0090599060058593,0.0090599060058593,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,112.0,30.848,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059080123901367,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0,0.0,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0104904174804687,0.0104904174804687,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,112.0,30.848,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060343742370605,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0,0.0,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0069141387939453,0.0069141387939453,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,112.0,30.848,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059866905212402,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0,0.0,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0066757202148437,0.0066757202148437,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,112.0,30.848,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060458681476649,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.00762939453125,0.00762939453125,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.011444091796875,0.011444091796875,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,113.256,30.848,0.0,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063382485062603,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0071525573730468,0.0039463693445379,0.0045299530029296,0.0063180923461914,0.0094413757324218,0.0115633010864257,0.0083684921264648,0.0158548355102539,0.0057220458984375,0.0057220458984375,0.0091969966888427,0.0162601470947265,0.496,0.0,1.36,0.0,1.696,1.696,29.672,144.408,30.848,0.0,4182.96,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068291579142655,0.0095129013061523,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0039401097535008,0.0045299530029296,0.0,0.0094413757324218,0.0115633010864257,0.0,0.0158548355102539,0.00762939453125,0.00762939453125,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,118.448,0.0,0.0,9061.104,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065831995722073,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0039038583841157,0.0045299530029296,0.0,0.0094413757324218,0.0115633010864257,0.0,0.0158548355102539,0.0121593475341796,0.0121593475341796,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,117.192,0.0,0.0,10818.6,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063791796935731,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.003979862600133,0.0045299530029296,0.0,0.0094413757324218,0.0115633010864257,0.0,0.0158548355102539,0.0133514404296875,0.0133514404296875,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,114.264,0.0,0.0,3173.704,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062000751495361,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0040010972456498,0.0045299530029296,0.0064849853515625,0.0094413757324218,0.0115633010864257,0.0081539154052734,0.0158548355102539,0.0123977661132812,0.0123977661132812,0.011301040649414,0.0212669372558593,0.496,0.0,1.392,0.0,1.696,1.696,3.744,112.0,4.232,0.0,391.624,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059914588928222,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0,0.0,0.0056266784667968,0.0094413757324218,0.0115633010864257,0.0069141387939453,0.0158548355102539,0.0088214874267578,0.0088214874267578,0.0101566314697265,0.0181198120117187,0.496,0.0,1.424,0.0,1.696,1.696,3.744,112.0,4.232,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006003166312602,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0047683715820312,0.0047683715820312,0.0058412551879882,0.0094413757324218,0.0115633010864257,0.0078916549682617,0.0158548355102539,0.0064373016357421,0.0064373016357421,0.009775161743164,0.0241756439208984,0.496,0.0,1.36,0.0,1.696,1.696,8.264,113.256,7.736,0.0,1.192,0
