time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059391135600075,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0070844377790178,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0052452087402343,0.0052452087402343,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060197725817931,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0070844377790178,0.0123977661132812,0.0123977661132812,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0050067901611328,0.0050067901611328,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060007939884318,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0138282775878906,0.0138282775878906,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0047683715820312,0.0047683715820312,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058734416961669,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0107288360595703,0.0107288360595703,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061653192760874,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0070844377790178,0.005960464477539,0.005960464477539,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,143.152,0.0040579815300143,0.0047683715820312,3280.808,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066175982726747,0.0092983245849609,0.011444091796875,0.011444091796875,0.0070844377790178,0.0107288360595703,0.0107288360595703,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,117.192,0.0041854438599216,0.0052452087402343,2095.224,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062334537506103,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0070844377790178,0.0112056732177734,0.0112056732177734,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061099209002594,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0070844377790178,0.0112056732177734,0.0112056732177734,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.392,0.848,0.848,25.152,27.344,0.0,113.256,0.0045299530029296,0.0045299530029296,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062273509466826,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0123977661132812,0.0123977661132812,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.00762939453125,0.00762939453125,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063281747239146,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0070844377790178,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,117.888,0.0057220458984375,0.0079154968261718,14.6,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066065788269042,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0070844377790178,0.0126361846923828,0.0126361846923828,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065028667449951,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0070844377790178,0.011444091796875,0.011444091796875,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065171718597412,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065147876739501,0.0081300735473632,0.005960464477539,0.005960464477539,0.0070844377790178,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063685042348074,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.005960464477539,0.005960464477539,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0052452087402343,0.0052452087402343,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067943536141068,0.0095367431640625,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,144.408,0.0039723386239055,0.0047683715820312,8379.768,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060446819855799,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0070844377790178,0.0100135803222656,0.0100135803222656,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,113.256,0.0057220458984375,0.0057220458984375,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,122.384,0.0044604142506917,0.0061273574829101,245.76,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0083446502685546,0.0060796737670898,0.0071287155151367,0.0067710876464843,0.0104904174804687,0.0125885009765625,0.0071525573730468,0.0071525573730468,0.0093460083007812,0.0071525573730468,0.0071525573730468,0.0118970870971679,0.029754638671875,1.344,2.208,0.848,0.848,8.264,7.736,0.0,122.384,0.0044604142506917,0.0061273574829101,245.76,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0079870223999023,0.00762939453125,0.00762939453125,0.0,0.0,0.0127315521240234,0.0,0.0,0.01068115234375,0.0255823135375976,0.496,1.424,0.0,0.0,8.264,7.736,0.0,122.384,0.0044604142506917,0.0061273574829101,245.76,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,122.384,0.0044604142506917,0.0061273574829101,245.76,0
