time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060033798217773,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0061988830566406,0.0062465667724609,0.0061988830566406,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006270408630371,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0095367431640625,0.0062465667724609,0.0095367431640625,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058430344311159,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0116825103759765,0.0062465667724609,0.0116825103759765,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0088214874267578,0.0209808349609375,0.0088214874267578,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006132457979876,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0062465667724609,0.0073909759521484,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0050067901611328,0.0209808349609375,0.0050067901611328,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059723260983898,0.0081062316894531,0.005960464477539,0.005960464477539,0.0057220458984375,0.0062465667724609,0.0057220458984375,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0073909759521484,0.0209808349609375,0.0073909759521484,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059247016906738,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0100135803222656,0.0062465667724609,0.0100135803222656,0.0085830688476562,0.0098909650530133,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0209808349609375,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059247016906738,0.00762939453125,0.005960464477539,0.005960464477539,0.0126361846923828,0.0071048736572265,0.0126361846923828,0.0095844268798828,0.012826919555664,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0,0.0241279602050781,0.0,0.496,1.36,1.696,1.696,112.0,4.52,3.504,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060150279334528,0.0081062316894531,0.00762939453125,0.00762939453125,0.0123977661132812,0.006866455078125,0.0123977661132812,0.0092983245849609,0.0131607055664062,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0054836273193359,0.0246047973632812,0.0077247619628906,0.496,1.424,1.696,1.696,117.192,3.744,4.232,0.0,28.664,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063030465135296,0.008702278137207,0.0078678131103515,0.0078678131103515,0.0109672546386718,0.006723403930664,0.0109672546386718,0.009012222290039,0.0126361846923828,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0041610316226356,0.0237941741943359,0.0051498413085937,0.496,1.424,1.696,1.696,140.544,3.744,4.232,0.0,1037.992,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067571602245368,0.0092983245849609,0.0069141387939453,0.0069141387939453,0.0104904174804687,0.0059843063354492,0.0104904174804687,0.0086069107055664,0.0110149383544921,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0039046981829411,0.0270605087280273,0.0045299530029296,0.496,1.424,1.696,1.696,118.448,8.264,7.736,0.0,9365.608,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006276782196347,0.0087976455688476,0.0071525573730468,0.0071525573730468,0.0119209289550781,0.0070571899414062,0.0119209289550781,0.0088214874267578,0.0120162963867187,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0039036503903151,0.0237464904785156,0.0045299530029296,0.496,1.424,1.696,1.696,118.448,3.744,4.232,0.0,4332.832,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063234300755742,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0107288360595703,0.0075817108154296,0.0107288360595703,0.0113487243652343,0.011444091796875,0.0138282775878906,0.0154972076416015,0.0170707702636718,0.0195026397705078,0.0069141387939453,0.0217914581298828,0.0069141387939453,0.496,1.36,1.696,1.696,113.256,3.744,4.232,0.0,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061847195766939,0.008559226989746,0.0066757202148437,0.0066757202148437,0.0107288360595703,0.0069141387939453,0.0107288360595703,0.0100135803222656,0.0106334686279296,0.0,0.0,0.0,0.0,0.0038918831365571,0.0197410583496093,0.0045299530029296,0.496,1.36,0.0,0.0,116.592,3.744,4.232,0.0,3166.944,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006780102478331,0.0092983245849609,0.0073909759521484,0.0091075897216796,0.0134706497192382,0.0064373016357421,0.0141382217407226,0.0083684921264648,0.0110864639282226,0.0,0.0,0.0,0.0,0.0038410859371857,0.0254631042480468,0.0042915344238281,1.344,2.272,0.0,0.0,117.192,8.264,7.736,0.0,17665.152,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006780102478331,0.0092983245849609,0.0066757202148437,0.0066757202148437,0.0078678131103515,0.0067710876464843,0.0078678131103515,0.0084877014160156,0.011444091796875,0.0,0.0,0.0,0.0,0.0038410859371857,0.0220298767089843,0.0042915344238281,0.496,1.36,0.0,0.0,117.192,3.744,4.232,0.0,17665.152,0
