time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061317903911648,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0073909759521484,0.00610772301169,0.0112056732177734,0.0112056732177734,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,112.136,0.0,0.0069141387939453,0.0069141387939453,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059801397971736,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0073909759521484,0.00610772301169,0.0100135803222656,0.0100135803222656,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,127.152,0.0,0.0050862630208333,0.0064373016357421,25.776,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061333179473876,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.005960464477539,0.0073909759521484,0.00610772301169,0.0085830688476562,0.0085830688476562,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059485435485839,0.0076532363891601,0.0066757202148437,0.0066757202148437,0.005960464477539,0.0073909759521484,0.00610772301169,0.005960464477539,0.005960464477539,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061314515393189,0.0085830688476562,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.011444091796875,0.011444091796875,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,110.88,0.0,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059960493400915,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0073909759521484,0.00610772301169,0.0121593475341796,0.0121593475341796,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,112.56,0.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060274095958089,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.005960464477539,0.0073909759521484,0.00610772301169,0.0133514404296875,0.0133514404296875,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,123.64,0.0,0.0044703483581542,0.0054597854614257,70.496,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061404471303902,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0073909759521484,0.00610772301169,0.0081062316894531,0.0081062316894531,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,131.576,0.0,0.0048478444417317,0.0056028366088867,257.152,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062390129164894,0.0083208084106445,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.0126361846923828,0.0126361846923828,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,115.68,0.0,0.0047116052536737,0.0057220458984375,180.776,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058341026306152,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.005960464477539,0.0073909759521484,0.00610772301169,0.0090599060058593,0.0090599060058593,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0052452087402343,0.0052452087402343,9.912,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061316065268941,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0073909759521484,0.00610772301169,0.009775161743164,0.009775161743164,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.392,1.696,1.696,25.68,26.816,113.12,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059252302047654,0.0078678131103515,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.0107288360595703,0.0107288360595703,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,127.576,0.0,0.0061648232596261,0.0088214874267578,66.952,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061030363916751,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.005960464477539,0.0073909759521484,0.00610772301169,0.0071525573730468,0.0071525573730468,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,116.072,0.0,0.0052452087402343,0.0061988830566406,15.872,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066556552849193,0.0090360641479492,0.0102519989013671,0.0102519989013671,0.005960464477539,0.0073909759521484,0.00610772301169,0.0090599060058593,0.0090599060058593,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,118.448,0.0,0.0040413999440336,0.0050067901611328,4508.728,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067807660244479,0.0092744827270507,0.0085830688476562,0.0085830688476562,0.005960464477539,0.0073909759521484,0.0,0.0166893005371093,0.0166893005371093,0.0065326690673828,0.0087261199951171,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0,0.0038732827787115,0.0045299530029296,23123.976,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073579278322729,0.0097513198852539,0.0102519989013671,0.0102519989013671,0.005960464477539,0.0073909759521484,0.0,0.0121593475341796,0.0121593475341796,0.0065326690673828,0.0087261199951171,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0,0.0038796782435468,0.0045299530029296,23160.264,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072581257986192,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.005960464477539,0.0073909759521484,0.0073432922363281,0.017404556274414,0.017404556274414,0.0065326690673828,0.0087261199951171,0.0093460083007812,0.0133514404296875,0.0260353088378906,0.496,1.424,1.696,1.696,4.52,3.504,117.192,0.0,0.003868092125377,0.0045299530029296,43596.072,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075653417786555,0.0104904174804687,0.0104427337646484,0.0092983245849609,0.0,0.0,0.0064611434936523,0.0227689743041992,0.0236272811889648,0.0,0.0,0.008559226989746,0.0108242034912109,0.0267744064331054,1.344,2.272,0.0,0.0,8.264,7.736,117.192,0.0,0.003871716951069,0.0045299530029296,54366.272,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075107783227417,0.0100135803222656,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0169277191162109,0.0169277191162109,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.00391001218216,0.0047683715820312,31013.728,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075107783227417,0.0100135803222656,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.00391001218216,0.0047683715820312,31013.728,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071217171588347,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0042339851116311,0.0053882598876953,326.84,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007471634973934,0.0100135803222656,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0088214874267578,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0110149383544921,0.0109672546386718,0.0275373458862304,0.496,1.424,0.0,0.0,7.488,8.464,117.888,0.0,0.0038789573307989,0.0045299530029296,53804.928,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720212955286,0.009775161743164,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0060319900512695,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0081777572631835,0.0113248825073242,0.0257730484008789,0.496,1.424,0.0,0.0,7.488,8.464,118.448,0.0,0.0038896701454031,0.0045299530029296,11323.384,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072894710125309,0.0100135803222656,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0063118181730571,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0092983245849609,0.0106266566685267,0.0255107879638671,0.496,1.424,0.0,0.0,17.056,14.944,118.448,0.0,0.0039030737237152,0.0045299530029296,8258.92,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059843063354492,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060677528381347,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0197887420654296,0.0197887420654296,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060488538044254,0.008249282836914,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,128.696,0.0,0.0039741050365359,0.0045299530029296,1953.792,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006680464863184,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0064611434936523,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0088691711425781,0.0109434127807617,0.0270605087280273,0.496,1.424,0.0,0.0,7.488,8.464,117.192,0.0,0.0038896102071459,0.004744529724121,8329.712,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062460946564627,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.006413459777832,0.005960464477539,0.005960464477539,0.0,0.0,0.0091314315795898,0.0119924545288085,0.0292778015136718,0.496,1.424,0.0,0.0,7.488,8.464,118.448,0.0,0.0044324181296608,0.0050067901611328,243.52,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0062346458435058,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0084161758422851,0.010836124420166,0.026869773864746,0.496,1.424,0.0,0.0,16.528,15.472,117.328,0.0,0.004064469110398,0.004887580871582,1390.864,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071879660729134,0.0095367431640625,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,0.0038532153615411,0.0045299530029296,38804.976,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074894274052102,0.0100135803222656,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0038685902820993,0.0045299530029296,53144.376,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007298455309512,0.0095367431640625,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0178813934326171,0.0178813934326171,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0038735338093079,0.0045299530029296,17737.168,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074265608147009,0.0095367431640625,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0065326690673828,0.0164508819580078,0.0164508819580078,0.0,0.0,0.0088214874267578,0.0117778778076171,0.0290393829345703,0.496,1.424,0.0,0.0,7.488,8.464,117.192,0.0,0.0,0.0,0.0,0
