time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066626724319078,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0061852591378348,0.013589859008789,0.013589859008789,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.424,0.848,0.848,25.152,27.344,0.0,113.256,0.0071525573730468,0.0071525573730468,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066460661627166,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0042915344238281,0.0061852591378348,0.0145435333251953,0.0145435333251953,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0092983245849609,0.0092983245849609,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066436938385465,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0061852591378348,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0090599060058593,0.0090599060058593,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065183639526367,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0061852591378348,0.0216960906982421,0.0216960906982421,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066006183624267,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0042915344238281,0.0061852591378348,0.0102519989013671,0.0102519989013671,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066089630126953,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0061852591378348,0.0102519989013671,0.0102519989013671,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066721439361572,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0042915344238281,0.0061852591378348,0.0090599060058593,0.0090599060058593,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065179606575277,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0061852591378348,0.0119209289550781,0.0119209289550781,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0090599060058593,0.0090599060058593,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0061852591378348,0.0121593475341796,0.0121593475341796,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0078678131103515,0.0078678131103515,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066175693418921,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0042915344238281,0.0,0.0109672546386718,0.0109672546386718,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,134.024,0.0039554656820094,0.0045299530029296,2101.12,0
