time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064210984313372,0.008702278137207,0.0107288360595703,0.0107288360595703,0.0073909759521484,0.0062738146100725,0.0150203704833984,0.0150203704833984,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0049549600352411,0.021219253540039,0.496,1.36,1.696,1.696,140.304,25.152,27.344,0.0,378.336,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064210984313372,0.008702278137207,0.0064373016357421,0.0064373016357421,0.0073909759521484,0.0062738146100725,0.0057220458984375,0.0057220458984375,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0049549600352411,0.021219253540039,0.496,1.36,1.696,1.696,140.304,25.152,27.344,0.0,378.336,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059272519391567,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0047683715820312,0.0062738146100725,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.004165775173313,0.021219253540039,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,893.4,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060506127960053,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.005960464477539,0.0062738146100725,0.0104904174804687,0.0104904174804687,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0050067901611328,0.021219253540039,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,38.352,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012436366317,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0071048736572265,0.0062738146100725,0.0078678131103515,0.0078678131103515,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0056266784667968,0.021219253540039,0.496,1.392,1.696,1.696,116.144,25.152,27.344,0.0,30.536,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006406765266005,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0047683715820312,0.0062738146100725,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0039957746674742,0.021219253540039,0.496,1.36,1.696,1.696,120.776,25.152,27.344,0.0,2290.728,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061632981940881,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0062738146100725,0.0095367431640625,0.0095367431640625,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0042936258148728,0.021219253540039,0.496,1.424,1.696,1.696,115.464,25.152,27.344,0.0,907.456,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064977959020813,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0047683715820312,0.0062738146100725,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0040298401523076,0.021219253540039,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,3664.696,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063981582869344,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0054836273193359,0.0062738146100725,0.0143051147460937,0.0143051147460937,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0043146071895476,0.021219253540039,0.496,1.424,1.696,1.696,114.52,25.152,27.344,0.0,236.696,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060102832851125,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0062738146100725,0.0090599060058593,0.0090599060058593,0.0083446502685546,0.0098364693777901,0.0139474868774414,0.0151395797729492,0.016951560974121,0.0176668167114257,0.0064373016357421,0.021219253540039,0.496,1.424,1.696,1.696,114.392,25.152,27.344,0.0,2.104,0
