time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006192922592163,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068446964893526,0.0095367431640625,0.0123977661132812,0.0123977661132812,0.0150203704833984,0.0150203704833984,0.003884608477404,0.0072002410888671,0.0045299530029296,0.0100612640380859,0.010538101196289,0.0189781188964843,0.0,0.496,1.36,0.0,1.696,1.696,3.744,4.232,143.152,0.0,0.0143051147460937,0.0169754028320312,20673.448,0.0173568725585937,0.0143051147460937,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062906742095947,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0133514404296875,0.0133514404296875,0.0,0.0058174133300781,0.0,0.0072956085205078,0.0099658966064453,0.018930435180664,0.0,0.496,1.36,0.0,1.696,1.696,3.744,4.232,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060482404718351,0.0078678131103515,0.009775161743164,0.009775161743164,0.0071525573730468,0.0071525573730468,0.0073909759521484,0.0060319900512695,0.0073909759521484,0.0083446502685546,0.0106096267700195,0.0233173370361328,0.0,0.496,1.36,0.0,1.696,1.696,8.264,7.736,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060767083618771,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0045299530029296,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061312718177909,0.0083446502685546,0.00762939453125,0.00762939453125,0.0109672546386718,0.0109672546386718,0.0042915344238281,0.0,0.0042915344238281,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0143051147460937,0.0169754028320312,1.192,0.0173568725585937,0.0143051147460937,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060808658599853,0.0083684921264648,0.0095367431640625,0.0095367431640625,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060534477233886,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0,0.006103515625,0.0,0.0077247619628906,0.011444091796875,0.0222206115722656,0.0,0.496,1.36,0.0,1.696,1.696,3.744,4.232,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006105899810791,0.0081062316894531,0.00762939453125,0.00762939453125,0.0109672546386718,0.0109672546386718,0.0,0.0057816505432128,0.0,0.0063657760620117,0.0102519989013671,0.0185966491699218,0.0,0.496,1.36,0.0,1.696,1.696,4.272,3.704,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060367584228515,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0085830688476562,0.0085830688476562,0.0,0.0058889389038085,0.0,0.0081777572631835,0.0107526779174804,0.0242948532104492,0.0,0.496,1.36,0.0,1.696,1.696,8.264,7.736,112.0,0.0,0.0143051147460937,0.0169754028320312,0.0,0.0173568725585937,0.0143051147460937,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006050166517201,0.0083208084106445,0.0073909759521484,0.0073909759521484,0.0112056732177734,0.0112056732177734,0.0062783559163411,0.0,0.0081539154052734,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,22.584,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060985584070186,0.008559226989746,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0071525573730468,0.0046491622924804,0.0,0.0056982040405273,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,26.96,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070634397488195,0.0096559524536132,0.009775161743164,0.009775161743164,0.0107288360595703,0.0107288360595703,0.0039227378072063,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,139.216,0.0,0.0,0.0,16547.128,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071088866432114,0.0092983245849609,0.009775161743164,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0039367012757877,0.0065326690673828,0.0045299530029296,0.0088214874267578,0.0102519989013671,0.0195980072021484,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,119.584,0.0,0.0,0.0,12652.072,0.0,0.0,0
