time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066109073972239,0.0090599060058593,0.0038704133892709,0.0092983245849609,0.0092983245849609,0.0045299530029296,0.0054836273193359,0.0092983245849609,0.0092983245849609,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.36,0.0,0.0,0.848,0.848,25.152,27.344,0.0,143.152,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,10921.656,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065713379513564,0.0090599060058593,0.0040322155147403,0.0100135803222656,0.0100135803222656,0.0048398971557617,0.0054836273193359,0.0095367431640625,0.0095367431640625,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.424,0.0,0.0,0.848,0.848,25.152,27.344,0.0,117.08,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,3073.44,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060100366573522,0.0081062316894531,0.0041668231670673,0.0128746032714843,0.0128746032714843,0.0054836273193359,0.0054836273193359,0.0119209289550781,0.0119209289550781,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.424,0.0,0.0,0.848,0.848,25.152,27.344,0.0,118.032,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,672.632,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061751598149389,0.0081062316894531,0.0052452087402343,0.0095367431640625,0.0095367431640625,0.0052452087402343,0.0054836273193359,0.0071525573730468,0.0071525573730468,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.424,0.0,0.0,0.848,0.848,25.152,27.344,0.0,113.256,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058584545382219,0.0081062316894531,0.0066757202148437,0.00762939453125,0.00762939453125,0.0066757202148437,0.0054836273193359,0.0121593475341796,0.0121593475341796,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.36,0.0,0.0,0.848,0.848,25.152,27.344,0.0,113.256,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006040334701538,0.0083446502685546,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0054836273193359,0.0100135803222656,0.0100135803222656,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.36,0.0,0.0,0.848,0.848,25.152,27.344,0.0,112.0,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061381096933402,0.0080347061157226,0.0040317193055764,0.0107288360595703,0.0107288360595703,0.0047683715820312,0.0054836273193359,0.00762939453125,0.00762939453125,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.36,0.0,0.0,0.848,0.848,25.152,27.344,0.0,132.768,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,2362.528,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062108039855957,0.0083446502685546,0.0042319297790527,0.00762939453125,0.00762939453125,0.0052452087402343,0.0054836273193359,0.0073909759521484,0.0073909759521484,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.424,0.0,0.0,0.848,0.848,25.152,27.344,0.0,112.0,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,392.448,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062342917565071,0.0085830688476562,0.0040256719795062,0.0090599060058593,0.0090599060058593,0.0047683715820312,0.0054836273193359,0.0150203704833984,0.0150203704833984,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.392,0.0,0.0,0.848,0.848,25.152,27.344,0.0,122.16,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,2963.408,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071195092531714,0.0097513198852539,0.0039256738694333,0.009775161743164,0.009775161743164,0.0045299530029296,0.0054836273193359,0.0090599060058593,0.0090599060058593,0.0054836273193359,0.0145435333251953,0.0145435333251953,0.496,1.424,0.0,0.0,0.848,0.848,25.152,27.344,0.0,118.448,0.0067506517682756,0.0092983245849609,0.0208854675292968,0.009638922555106,14866.16,0
