time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061861519674652,0.0083446502685546,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0071525573730468,0.0128746032714843,0.0128746032714843,0.0041020768029349,0.0052452087402343,0.496,1.36,0.0,0.0,5.6,5.728,143.152,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1180.464,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060808658599853,0.0081062316894531,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0102519989013671,0.0102519989013671,0.0040829181671142,0.004887580871582,0.496,1.424,0.0,0.0,5.6,5.728,112.0,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,174.048,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058584545382219,0.0078678131103515,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.011444091796875,0.011444091796875,0.0066757202148437,0.0066757202148437,0.496,1.392,0.0,0.0,5.6,5.728,113.256,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059640229637943,0.0081062316894531,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0071525573730468,0.0095367431640625,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,0.0,5.6,5.728,113.256,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060767083618771,0.0085830688476562,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.00762939453125,0.00762939453125,0.0071525573730468,0.0073909759521484,0.0073909759521484,0.005960464477539,0.005960464477539,0.496,1.36,0.0,0.0,5.6,5.728,113.256,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.005805492401123,0.00762939453125,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.013589859008789,0.013589859008789,0.0,0.0,0.496,1.36,0.0,0.0,5.6,5.728,112.0,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062453746795654,0.0083684921264648,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0085830688476562,0.0,0.0,0.496,1.36,0.0,0.0,5.6,5.728,112.0,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061094760894775,0.0088214874267578,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0039847691853841,0.0043153762817382,0.496,1.36,0.0,0.0,5.6,5.728,112.0,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1656.64,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060542115887391,0.0081062316894531,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.00762939453125,0.00762939453125,0.0071525573730468,0.0069141387939453,0.0069141387939453,0.004019056047712,0.0046253204345703,0.496,1.36,0.0,0.0,5.6,5.728,143.152,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,66.28,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.005930810425412,0.0078678131103515,0.0061392784118652,0.0067353248596191,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.496,1.424,0.0,0.0,5.6,5.728,113.256,25.152,27.344,0.0,0.0063964298793247,0.009012222290039,0.0218391418457031,0.0102860586983816,1.192,0
