time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006217401004532,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.005748536851671,0.0046854433806046,0.0104904174804687,0.0104904174804687,0.0064373016357421,0.0066280364990234,0.0121593475341796,0.0125408172607421,0.0111406499689275,0.0259876251220703,0.496,1.36,1.696,1.696,7.208,8.792,140.304,0.012516975402832,0.0145196914672851,378.336,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006217401004532,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0046854433806046,0.009775161743164,0.009775161743164,0.0064373016357421,0.0,0.0121593475341796,0.0125408172607421,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,140.304,0.012516975402832,0.0145196914672851,378.336,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063151269409787,0.0081062316894531,0.0116825103759765,0.0116825103759765,0.0057697296142578,0.0041867350483988,0.00762939453125,0.00762939453125,0.0050067901611328,0.0073909759521484,0.0121593475341796,0.0125408172607421,0.0110149383544921,0.0217437744140625,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.012516975402832,0.0145196914672851,893.4,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059974193572998,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0063896179199218,0.0055789947509765,0.0078678131103515,0.0078678131103515,0.007486343383789,0.0085353851318359,0.0121593475341796,0.0125408172607421,0.0108242034912109,0.0206470489501953,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.012516975402832,0.0145196914672851,37.16,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059911520174234,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0068982442220052,0.0053882598876953,0.0066757202148437,0.0066757202148437,0.007486343383789,0.0106811523437499,0.0121593475341796,0.0125408172607421,0.0106175740559895,0.0272274017333984,0.496,1.392,1.696,1.696,11.968,12.008,116.144,0.012516975402832,0.0145196914672851,30.536,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061272400353342,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.006866455078125,0.0039645891149335,0.0123977661132812,0.0123977661132812,0.0045299530029296,0.009775161743164,0.0121593475341796,0.0125408172607421,0.0112533569335937,0.0216484069824218,0.496,1.36,1.696,1.696,4.232,3.744,120.776,0.012516975402832,0.0145196914672851,2290.728,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063889097459245,0.0087976455688476,0.0104904174804687,0.0104904174804687,0.0066757202148437,0.0042383487407977,0.0209808349609375,0.0209808349609375,0.0050306320190429,0.0088214874267578,0.0121593475341796,0.0125408172607421,0.0110626220703125,0.0284194946289062,0.496,1.424,1.696,1.696,7.736,8.264,116.72,0.012516975402832,0.0145196914672851,1067.264,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065879442205476,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0,0.0040053011296869,0.0088214874267578,0.0088214874267578,0.0047683715820312,0.0,0.0121593475341796,0.0125408172607421,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,117.192,0.012516975402832,0.0145196914672851,3506.08,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064669556878692,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0047837534258442,0.0112056732177734,0.0112056732177734,0.0066757202148437,0.0083446502685546,0.0121593475341796,0.0125408172607421,0.0106334686279296,0.0198841094970703,0.496,1.424,1.696,1.696,4.232,3.744,114.52,0.012516975402832,0.0145196914672851,236.696,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.006866455078125,0.005960464477539,0.0090599060058593,0.0090599060058593,0.005960464477539,0.0085830688476562,0.0121593475341796,0.0125408172607421,0.012063980102539,0.0229835510253906,0.496,1.424,1.696,1.696,4.232,3.744,114.392,0.012516975402832,0.0145196914672851,2.104,0
10,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060660329031113,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0061648232596261,0.0057220458984375,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.007939338684082,0.0121593475341796,0.0125408172607421,0.0107884407043457,0.0278949737548828,0.496,1.392,1.696,1.696,11.44,12.536,117.192,0.012516975402832,0.0145196914672851,6.92,0
11,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058774331315832,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0050067901611328,0.0064373016357421,0.0064373016357421,0.0050067901611328,0.0084877014160156,0.0,0.0,0.0117778778076171,0.0218391418457031,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,0
12,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007057424836558,0.0095367431640625,0.0078678131103515,0.0078678131103515,0.006103515625,0.0040286109121707,0.0119209289550781,0.0119209289550781,0.0047683715820312,0.0080823898315429,0.0,0.0,0.0107765197753906,0.028228759765625,0.496,1.424,0.0,0.0,7.736,8.264,123.64,0.0,0.0,7606.52,0
13,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0039656956990559,0.0066757202148437,0.0066757202148437,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0,245.872,0
14,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060796737670898,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0059127807617187,0.0,0.009775161743164,0.009775161743164,0.0,0.0072479248046875,0.0,0.0,0.0114917755126953,0.0216960906982421,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
15,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060567714897869,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0060081481933593,0.0045299530029296,0.0176429748535156,0.0176429748535156,0.0063419342041015,0.0075817108154296,0.0,0.0,0.0116348266601562,0.0221729278564453,0.496,1.36,0.0,0.0,4.232,3.744,127.576,0.0,0.0,182.272,0
16,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068020820617675,0.0092983245849609,0.0066757202148437,0.0066757202148437,0.0057538350423177,0.0039914035392448,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0081062316894531,0.0,0.0,0.0102837880452473,0.0261783599853515,0.496,1.36,0.0,0.0,11.968,12.008,116.632,0.0,0.0,6540.872,0
