time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_dl_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0067220150845722,0.0092983245849609,0.0038941701253255,0.0090599060058593,0.0095367431640625,0.0045299530029296,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.36,143.152,26.272,27.936,0.0,0.0140666961669921,0.0140666961669921,14429.888,0.00762939453125,0.00762939453125,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.006967516087774,0.0092983245849609,0.0040279560951731,0.0090599060058593,0.0095367431640625,0.0047683715820312,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,117.888,26.272,27.936,0.0,0.0176429748535156,0.0176429748535156,4120.128,0.0092983245849609,0.0092983245849609,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0075774617714457,0.010228157043457,0.0039163834696121,0.0090599060058593,0.0095367431640625,0.0045299530029296,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,118.448,26.272,27.936,0.0,0.0138282775878906,0.0138282775878906,23719.528,0.0083446502685546,0.0083446502685546,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007126461807175,0.009775161743164,0.0039200318397648,0.0090599060058593,0.0095367431640625,0.0045299530029296,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,113.256,26.272,27.936,0.0,0.0085830688476562,0.0085830688476562,8800.048,0.0102519989013671,0.0102519989013671,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062720610363648,0.0083446502685546,0.0049908955891927,0.0090599060058593,0.0095367431640625,0.006103515625,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,119.584,26.272,27.936,0.0,0.011444091796875,0.011444091796875,103.496,0.0092983245849609,0.0092983245849609,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.006040334701538,0.0081062316894531,0.005801518758138,0.0090599060058593,0.0095367431640625,0.006866455078125,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,112.0,26.272,27.936,0.0,0.0116825103759765,0.0116825103759765,23.224,0.0073909759521484,0.0073909759521484,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062298774719238,0.0085830688476562,0.0,0.0090599060058593,0.0095367431640625,0.0,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.36,112.0,26.272,27.936,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0069141387939453,0.0069141387939453,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059890747070312,0.0081062316894531,0.0,0.0090599060058593,0.0095367431640625,0.0,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.36,112.0,26.272,27.936,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0069141387939453,0.0069141387939453,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005988932367581,0.0081062316894531,0.0047683715820312,0.0090599060058593,0.0095367431640625,0.0047683715820312,0.0094413757324218,0.009918212890625,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.36,113.256,26.272,27.936,0.0,0.0095367431640625,0.0095367431640625,1.192,0.0085830688476562,0.0085830688476562,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059877462054959,0.0081062316894531,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,113.256,26.272,27.936,0.0,0.0107288360595703,0.0107288360595703,1.192,0.0092983245849609,0.0092983245849609,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060233310680484,0.0078678131103515,0.0047683715820312,0.0,0.0,0.0047683715820312,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,113.256,26.272,27.936,0.0,0.0100135803222656,0.0100135803222656,1.192,0.00762939453125,0.00762939453125,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060725212097167,0.0078916549682617,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0069141387939453,0.0069141387939453,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062119960784912,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0069141387939453,0.0069141387939453,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059723854064941,0.0083684921264648,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0073909759521484,0.0073909759521484,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061619281768798,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0085830688476562,0.0085830688476562,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059735122604749,0.0083446502685546,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,113.256,26.272,27.936,0.0,0.00762939453125,0.00762939453125,1.192,0.0078678131103515,0.0078678131103515,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062047266492656,0.0085830688476562,0.0047286351521809,0.0,0.0,0.0064373016357421,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,128.832,26.272,27.936,0.0,0.0121593475341796,0.0121593475341796,194.224,0.0069141387939453,0.0069141387939453,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061788181267162,0.0087976455688476,0.0050067901611328,0.0,0.0,0.0063180923461914,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,118.448,26.272,27.936,0.0,0.0119209289550781,0.0119209289550781,32.672,0.0071525573730468,0.0071525573730468,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062831005646814,0.0083446502685546,0.0054836273193359,0.0,0.0,0.0054836273193359,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,115.032,26.272,27.936,0.0,0.0088214874267578,0.0088214874267578,2.744,0.0069141387939453,0.0069141387939453,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061907020269655,0.0083446502685546,0.0055789947509765,0.0,0.0,0.0065326690673828,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,128.64,26.272,27.936,0.0,0.0107288360595703,0.0107288360595703,24.456,0.0090599060058593,0.0090599060058593,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059330463409423,0.0078678131103515,0.0048478444417317,0.0,0.0,0.0066757202148437,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,112.0,26.272,27.936,0.0,0.0131130218505859,0.0131130218505859,69.68,0.00762939453125,0.00762939453125,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062298774719238,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0090599060058593,0.0090599060058593,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061339671068852,0.0083446502685546,0.005960464477539,0.0,0.0,0.006723403930664,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,118.8,26.272,27.936,0.0,0.0085830688476562,0.0085830688476562,6.224,0.0071525573730468,0.0071525573730468,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062012320081588,0.0085830688476562,0.0063578287760416,0.0,0.0,0.0071048736572265,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,117.784,26.272,27.936,0.0,0.0193119049072265,0.0193119049072265,5.144,0.0100135803222656,0.0100135803222656,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062973345097024,0.0081062316894531,0.0047683715820312,0.0,0.0,0.0047683715820312,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,113.256,26.272,27.936,0.0,0.0112056732177734,0.0112056732177734,1.192,0.0069141387939453,0.0069141387939453,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060351926888992,0.0083446502685546,0.0081062316894531,0.0,0.0,0.0081062316894531,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,113.256,26.272,27.936,0.0,0.0143051147460937,0.0143051147460937,1.192,0.0078678131103515,0.0078678131103515,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062815033563292,0.0083446502685546,0.0052452087402343,0.0,0.0,0.006866455078125,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,120.432,26.272,27.936,0.0,0.0154972076416015,0.0154972076416015,21.896,0.0071525573730468,0.0071525573730468,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060725212097167,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,112.0,26.272,27.936,0.0,0.00762939453125,0.00762939453125,0.0,0.00762939453125,0.00762939453125,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059723854064941,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,1.344,0.0,0.0,2.208,112.0,26.272,27.936,0.0,0.0091791152954101,0.0104188919067382,0.0,0.0065565109252929,0.007796287536621,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005958080291748,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0112056732177734,0.0112056732177734,0.0,0.00762939453125,0.00762939453125,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061307634626116,0.0083446502685546,0.0054836273193359,0.0,0.0,0.0071525573730468,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,120.792,26.272,27.936,0.0,0.009775161743164,0.009775161743164,20.656,0.0078678131103515,0.0078678131103515,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061568091897403,0.0081062316894531,0.0046094258626302,0.0,0.0,0.0058412551879882,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,123.92,26.272,27.936,0.0,0.0078678131103515,0.0078678131103515,34.624,0.0121593475341796,0.0121593475341796,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061787183011942,0.0083446502685546,0.0042915344238281,0.0,0.0,0.0042915344238281,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,113.256,26.272,27.936,0.0,0.013589859008789,0.013589859008789,1.192,0.0083446502685546,0.0083446502685546,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060462951660156,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0109672546386718,0.0109672546386718,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060890235152899,0.0083446502685546,0.0057220458984375,0.0,0.0,0.0084638595581054,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,126.656,26.272,27.936,0.0,0.0081062316894531,0.0081062316894531,39.712,0.0123977661132812,0.0123977661132812,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059628368017092,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0078678131103515,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,114.76,26.272,27.936,0.0,0.0090599060058593,0.0090599060058593,2.472,0.0116825103759765,0.0116825103759765,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00604705430975,0.0081062316894531,0.0071525573730468,0.0,0.0,0.0071525573730468,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,114.344,26.272,27.936,0.0,0.0085830688476562,0.0085830688476562,2.056,0.0071525573730468,0.0071525573730468,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060233310680484,0.0078678131103515,0.005960464477539,0.0,0.0,0.005960464477539,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,113.256,26.272,27.936,0.0,0.0112056732177734,0.0112056732177734,1.192,0.0069141387939453,0.0069141387939453,0
