time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062243452349912,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0042915344238281,0.0061988830566406,0.0061920710972377,0.007033348083496,0.011444091796875,0.011444091796875,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,140.672,25.152,27.344,417.032,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060760974884033,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0068346659342447,0.0073432922363281,0.0061920710972377,0.007033348083496,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,112.0,25.152,27.344,23.096,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061422291368541,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0042548546424278,0.006103515625,0.0061920710972377,0.007033348083496,0.0100135803222656,0.0100135803222656,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,118.448,25.152,27.344,138.536,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066968607785079,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0039417318879084,0.0045299530029296,0.0061920710972377,0.007033348083496,0.0092983245849609,0.0092983245849609,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,123.64,25.152,27.344,11970.872,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065535455200802,0.0090599060058593,0.0107288360595703,0.0107288360595703,0.0039438692911901,0.0045299530029296,0.0061920710972377,0.007033348083496,0.0112056732177734,0.0112056732177734,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,113.256,25.152,27.344,7167.04,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062882900238037,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0061920710972377,0.007033348083496,0.0188350677490234,0.0188350677490234,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062251091003417,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0061920710972377,0.007033348083496,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060498714447021,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0061920710972377,0.007033348083496,0.0128746032714843,0.0128746032714843,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060772895812988,0.0079154968261718,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0061920710972377,0.007033348083496,0.0095367431640625,0.0095367431640625,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061063624140041,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0052452087402343,0.0052452087402343,0.0061920710972377,0.007033348083496,0.0138282775878906,0.0138282775878906,0.0085830688476562,0.0082731246948242,0.0085830688476562,0.0116348266601562,0.0099045889718191,0.0215530395507812,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
