time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069878527507689,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0038959316371642,0.0045299530029296,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,144.408,25.152,27.344,0.0,21828.176,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066190662950572,0.0090360641479492,0.0092983245849609,0.0092983245849609,0.0085830688476562,0.0085830688476562,0.003929477727081,0.0047683715820312,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.424,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,118.448,25.152,27.344,0.0,7098.208,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059652091258793,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0128746032714843,0.0128746032714843,0.0050067901611328,0.0050067901611328,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.424,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061678886413574,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061693758067518,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0102519989013671,0.0102519989013671,0.0047250227494673,0.0085830688476562,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,122.384,25.152,27.344,0.0,125.432,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060653686523437,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0,0.0,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.424,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061273574829101,0.0086069107055664,0.0090599060058593,0.0090599060058593,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062012320081588,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0067551930745442,0.0077247619628906,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,119.32,25.152,27.344,0.0,6.68,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061656705182583,0.0081062316894531,0.00762939453125,0.00762939453125,0.0107288360595703,0.0107288360595703,0.0052452087402343,0.0052452087402343,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.424,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059248796149865,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0109672546386718,0.0109672546386718,0.0052452087402343,0.0052452087402343,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061523914337158,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060510635375976,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0068392072405133,0.0122785568237304,0.0089645385742187,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0096525464739118,0.0187397003173828,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062787532806396,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0122785568237304,0.0,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063264369964599,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0122785568237304,0.0,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060790806860473,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0119209289550781,0.0119209289550781,0.0050067901611328,0.0050067901611328,0.0070095062255859,0.0122785568237304,0.0084877014160156,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0124931335449218,0.0219345092773437,1.696,1.696,113.256,4.52,3.504,0.0,1.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062392125675334,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0116825103759765,0.0116825103759765,0.0047683715820312,0.0047683715820312,0.0,0.0122785568237304,0.0,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0,0.0,1.696,1.696,113.256,0.0,0.0,0.0,1.192,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006017400257623,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0112056732177734,0.0112056732177734,0.0083446502685546,0.0083446502685546,0.0,0.0122785568237304,0.0,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0,0.0,1.696,1.696,113.256,0.0,0.0,0.0,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059938430786132,0.0076532363891601,0.0090599060058593,0.0090599060058593,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0122785568237304,0.0,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062239170074462,0.0086069107055664,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0070095062255859,0.0122785568237304,0.0081539154052734,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.011301040649414,0.0207424163818359,1.696,1.696,112.0,3.744,4.232,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060927867889404,0.0083684921264648,0.0104904174804687,0.0104904174804687,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0059127807617187,0.0122785568237304,0.007486343383789,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.01068115234375,0.020456314086914,1.696,1.696,112.0,3.744,4.232,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061094760894775,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0062465667724609,0.0122785568237304,0.0085830688476562,0.0137090682983398,0.0156164169311523,0.0157117843627929,0.496,0.0,1.36,0.0,0.0104427337646484,0.0241279602050781,1.696,1.696,112.0,8.264,7.736,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063115684547234,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0081062316894531,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061170378727699,0.0078678131103515,0.00762939453125,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061253410073655,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.011444091796875,0.011444091796875,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062501430511474,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0058174133300781,0.0,0.0071048736572265,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0103473663330078,0.0198841094970703,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059199333190917,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0060081481933593,0.0,0.0073432922363281,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0107288360595703,0.0207424163818359,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
