time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062997068338726,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0138282775878906,0.0042096428249193,0.0138282775878906,0.0050306320190429,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,114.968,25.152,27.344,0.0,1936.688,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063288211822509,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0088214874267578,0.0048428773880004,0.0088214874267578,0.0054836273193359,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,112.0,25.152,27.344,0.0,62.4,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063926715568955,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0116825103759765,0.0050444351999383,0.0116825103759765,0.0069618225097656,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.392,0.0,0.0,0.0,123.64,25.152,27.344,0.0,272.048,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068504031341854,0.0092983245849609,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0088214874267578,0.0043434299505095,0.0088214874267578,0.0050067901611328,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,118.448,25.152,27.344,0.0,1844.552,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065919196251595,0.0092983245849609,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0121593475341796,0.0041102430348291,0.0121593475341796,0.0048160552978515,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,118.448,25.152,27.344,0.0,3368.28,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062154893258317,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0126361846923828,0.0046968460083007,0.0126361846923828,0.0058412551879882,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,116.632,25.152,27.344,0.0,52.336,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062072277069091,0.0086069107055664,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0112056732177734,0.0064373016357421,0.0112056732177734,0.0066280364990234,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,112.0,25.152,27.344,0.0,6.384,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061619281768798,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0095367431640625,0.0,0.0095367431640625,0.0,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0072864476095866,0.0100135803222656,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0197887420654296,0.0038926172562789,0.0197887420654296,0.0045299530029296,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,125.88,25.152,27.344,0.0,42665.488,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070038408336072,0.0090599060058593,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0152587890625,0.0045299530029296,0.0152587890625,0.0045299530029296,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,118.448,25.152,27.344,0.0,1.192,0
