time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063866232904259,0.0085830688476562,0.00762939453125,0.00762939453125,0.0040618812336641,0.0051259994506835,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,144.408,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,1447.536,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065942802051506,0.0088214874267578,0.0121593475341796,0.0121593475341796,0.0039862906847883,0.0047683715820312,0.0062533787318638,0.0123977661132812,0.0123977661132812,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,118.448,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,3979.96,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064325804757599,0.0087976455688476,0.011444091796875,0.011444091796875,0.0042981571621365,0.0056743621826171,0.0062533787318638,0.0128746032714843,0.0128746032714843,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,118.448,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,622.928,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061821937561035,0.0083684921264648,0.0078678131103515,0.0078678131103515,0.0041696760389539,0.0052452087402343,0.0062533787318638,0.011444091796875,0.011444091796875,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,456.424,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060861976585577,0.0081062316894531,0.00762939453125,0.00762939453125,0.005960464477539,0.0079870223999023,0.0062533787318638,0.0107288360595703,0.0107288360595703,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,45.552,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060660329031113,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0043710072835286,0.0058650970458984,0.0062533787318638,0.0152587890625,0.0152587890625,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,115.032,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,147.64,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062368402433632,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0048364911760602,0.0064373016357421,0.0062533787318638,0.0138282775878906,0.0138282775878906,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,65.56,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061422291368541,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.004589557647705,0.005507469177246,0.0062533787318638,0.0216960906982421,0.0216960906982421,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,118.448,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,34.976,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059996078263467,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0062533787318638,0.0133514404296875,0.0133514404296875,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006392227476509,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0047683715820312,0.0047683715820312,0.0062533787318638,0.0133514404296875,0.0133514404296875,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061483805989984,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0054495675223214,0.0064373016357421,0.0062533787318638,0.0121593475341796,0.0121593475341796,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,122.632,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,44.104,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062463295400439,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0044841032761793,0.0058412551879882,0.0062533787318638,0.0073909759521484,0.0073909759521484,0.0115633010864257,0.0090599060058593,0.0133752822875976,0.0091961451939174,0.0173568725585937,0.0,0.496,1.36,1.696,1.696,114.712,25.152,27.344,0.0,0.0134944915771484,0.0131130218505859,222.256,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064325569874018,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0048279762268066,0.0055789947509765,0.0,0.009775161743164,0.009775161743164,0.0115633010864257,0.0,0.0133752822875976,0.0,0.0,0.0,0.496,1.36,1.696,1.696,117.192,0.0,0.0,0.0,0.0134944915771484,0.0131130218505859,29.232,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066030025482177,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0115633010864257,0.0,0.0133752822875976,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0134944915771484,0.0131130218505859,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062862245163114,0.0080823898315429,0.0073909759521484,0.0073909759521484,0.0060796737670898,0.0077724456787109,0.0069141387939453,0.0116825103759765,0.0116825103759765,0.0115633010864257,0.0101089477539062,0.0133752822875976,0.0123977661132812,0.022745132446289,0.0,0.496,1.36,1.696,1.696,120.6,4.52,3.504,0.0,0.0134944915771484,0.0131130218505859,26.4,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062131170016616,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0092983245849609,0.0092983245849609,0.0,0.0121593475341796,0.0121593475341796,0.0115633010864257,0.0,0.0133752822875976,0.0,0.0,0.0,0.496,1.36,1.696,1.696,113.256,0.0,0.0,0.0,0.0134944915771484,0.0131130218505859,1.192,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061004316035787,0.0083446502685546,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0109672546386718,0.0109672546386718,0.0115633010864257,0.0,0.0133752822875976,0.0,0.0,0.0,0.496,1.36,1.696,1.696,113.256,0.0,0.0,0.0,0.0134944915771484,0.0131130218505859,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061047077178955,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0115633010864257,0.0,0.0133752822875976,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0134944915771484,0.0131130218505859,0.0,0
