time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060558319091796,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0152587890625,0.0152587890625,0.0064022400799919,0.0070503779820033,0.0093460083007812,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,132.12,0.0,0.0171661376953125,33.688,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060908312868014,0.0080585479736328,0.0073909759521484,0.0073909759521484,0.0150203704833984,0.0150203704833984,0.0064022400799919,0.0048562100059107,0.0066757202148437,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,120.76,0.0,0.0171661376953125,152.632,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059343689116672,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0157356262207031,0.0157356262207031,0.0064022400799919,0.0071525573730468,0.0071525573730468,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,113.256,0.0,0.0171661376953125,1.192,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060462951660156,0.0083684921264648,0.0083446502685546,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0064022400799919,0.0,0.0,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0171661376953125,0.0,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060926569570409,0.008559226989746,0.0064373016357421,0.0064373016357421,0.009775161743164,0.009775161743164,0.0064022400799919,0.0077486038208007,0.0080347061157226,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,119.776,0.0,0.0171661376953125,7.344,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059094595078805,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0064022400799919,0.005960464477539,0.005960464477539,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,117.192,0.0,0.0171661376953125,6.024,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061392784118652,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0073909759521484,0.0064022400799919,0.0,0.0,0.009322166442871,0.0095897250705295,0.0200271606445312,0.0,0.0,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0171661376953125,0.0,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061622940667785,0.0080823898315429,0.0112056732177734,0.0112056732177734,0.0162124633789062,0.0162124633789062,0.0,0.005960464477539,0.0071048736572265,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,118.448,0.0,0.0171661376953125,6.496,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060541712822605,0.0081062316894531,0.005960464477539,0.005960464477539,0.0109672546386718,0.0109672546386718,0.0073909759521484,0.0042915344238281,0.0042915344238281,0.0110626220703125,0.0121593475341796,0.0208854675292968,0.0,0.0,0.496,1.36,1.696,1.696,4.52,3.504,113.256,0.0,0.0171661376953125,1.192,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061205963590251,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0121593475341796,0.0121593475341796,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,0.0171661376953125,1.192,0.0177383422851562,0.0165700912475585,0.0180006027221679,0
