time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062107446774914,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0121593475341796,0.0121593475341796,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0063180923461914,0.007939338684082,0.496,1.36,1.696,1.696,117.192,25.152,27.344,0.0,13.824,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062432943605909,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.011444091796875,0.011444091796875,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0041162266450769,0.0052452087402343,0.496,1.424,1.696,1.696,134.84,25.152,27.344,0.0,750.016,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061493108768274,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.003922093021977,0.0047683715820312,0.496,1.392,1.696,1.696,122.384,25.152,27.344,0.0,1254.728,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061316065268941,0.008559226989746,0.0090599060058593,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0039368974692505,0.0045299530029296,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,3112.248,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064906789295708,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0154972076416015,0.0154972076416015,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0038947035002228,0.0045299530029296,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,6592.256,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061526227353224,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.011444091796875,0.011444091796875,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0045299530029296,0.0045299530029296,0.496,1.392,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058043003082275,0.0076532363891601,0.0081062316894531,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061568091897403,0.0087499618530273,0.0069141387939453,0.0069141387939453,0.0100135803222656,0.0100135803222656,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0039361141346119,0.0042915344238281,0.496,1.36,1.696,1.696,132.768,25.152,27.344,0.0,1236.912,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006040334701538,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0,0.0,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062356540812781,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0069141387939453,0.0069141387939453,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0039706995457778,0.0047683715820312,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,894.504,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065970303389826,0.0087738037109375,0.0083446502685546,0.0083446502685546,0.0171661376953125,0.0171661376953125,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0039114087235693,0.0045299530029296,0.496,1.424,1.696,1.696,121.848,25.152,27.344,0.0,9051.472,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063440587260935,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0128746032714843,0.0128746032714843,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0041425228118896,0.0050067901611328,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,1054.528,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066863428248037,0.0088214874267578,0.0126361846923828,0.0126361846923828,0.0116825103759765,0.0116825103759765,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0038886452741163,0.0045299530029296,0.496,1.424,1.696,1.696,118.448,25.152,27.344,0.0,10555.16,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006563663482666,0.0090837478637695,0.0123977661132812,0.0123977661132812,0.00762939453125,0.00762939453125,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.003873968923558,0.0045299530029296,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,8022.112,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057744979858398,0.00762939453125,0.0090599060058593,0.0090599060058593,0.011444091796875,0.011444091796875,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0,0.0,0.496,1.392,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006192922592163,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0112056732177734,0.0112056732177734,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0,0.0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063730221168667,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0041368845346811,0.0052452087402343,0.496,1.424,1.696,1.696,126.992,25.152,27.344,0.0,1205.24,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063851105039985,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0083446502685546,0.0083446502685546,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0039811181549978,0.0047683715820312,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,2121.968,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060517989580904,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0084638595581054,0.0065667288643973,0.0106096267700195,0.0118017196655273,0.009012222290039,0.0156641006469726,0.0104154859270368,0.0225543975830078,0.0052452087402343,0.0052452087402343,0.496,1.392,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060672190651964,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.005960464477539,0.005960464477539,0.0084638595581054,0.0,0.0106096267700195,0.0118017196655273,0.0,0.0156641006469726,0.0,0.0,0.0061988830566406,0.0061988830566406,0.496,1.36,1.696,1.696,113.256,0.0,0.0,0.0,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059068202972412,0.0081539154052734,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0084638595581054,0.0,0.0106096267700195,0.0118017196655273,0.0,0.0156641006469726,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061666965484619,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.0084638595581054,0.0065485636393229,0.0106096267700195,0.0118017196655273,0.0094890594482421,0.0156641006469726,0.0118732452392578,0.0264167785644531,0.0,0.0,0.496,1.36,1.696,1.696,112.0,12.784,11.24,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060451030731201,0.0083446502685546,0.00762939453125,0.00762939453125,0.0100135803222656,0.0100135803222656,0.0084638595581054,0.0,0.0106096267700195,0.0118017196655273,0.0,0.0156641006469726,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061702728271484,0.0081300735473632,0.009775161743164,0.009775161743164,0.0102519989013671,0.0102519989013671,0.0084638595581054,0.0,0.0106096267700195,0.0118017196655273,0.0,0.0156641006469726,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059305181825794,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.00762939453125,0.00762939453125,0.0084638595581054,0.0,0.0106096267700195,0.0118017196655273,0.0,0.0156641006469726,0.0,0.0,0.0042279561360677,0.0052452087402343,0.496,1.392,1.696,1.696,141.512,0.0,0.0,0.0,323.584,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061811787067073,0.0083208084106445,0.0095367431640625,0.0095367431640625,0.0123977661132812,0.0123977661132812,0.0084638595581054,0.0059843063354492,0.0106096267700195,0.0118017196655273,0.0081300735473632,0.0156641006469726,0.0115394592285156,0.0301361083984375,0.0044649297540838,0.0058650970458984,0.496,1.424,1.696,1.696,118.448,7.488,8.464,0.0,314.776,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060778945239622,0.0083446502685546,0.00762939453125,0.00762939453125,0.0104904174804687,0.0104904174804687,0.0084638595581054,0.006270408630371,0.0106096267700195,0.0118017196655273,0.0090599060058593,0.0156641006469726,0.0113725662231445,0.0275850296020507,0.0049114227294921,0.0054359436035156,0.496,1.424,1.696,1.696,113.256,7.488,8.464,0.0,17.032,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069920379336517,0.0097513198852539,0.0104904174804687,0.0104904174804687,0.0143051147460937,0.0143051147460937,0.0,0.0064849853515625,0.0,0.0,0.0088453292846679,0.0,0.0108957290649414,0.0269889831542968,0.0038517138396758,0.0045299530029296,0.496,1.424,0.0,0.0,122.384,16.528,15.472,0.0,41368.752,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072616842848744,0.009775161743164,0.0105857849121093,0.0081062316894531,0.0122785568237304,0.0137090682983398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038538050591995,0.0042915344238281,1.344,2.272,0.0,0.0,117.192,0.0,0.0,0.0,13876.744,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072616842848744,0.009775161743164,0.0092983245849609,0.0092983245849609,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038538050591995,0.0042915344238281,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,13876.744,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072616842848744,0.009775161743164,0.0123977661132812,0.0123977661132812,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038538050591995,0.0042915344238281,0.496,1.36,0.0,0.0,117.192,0.0,0.0,0.0,13876.744,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063234300755742,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0,0.0066041946411132,0.0,0.0,0.0087976455688476,0.0,0.0108242034912109,0.027322769165039,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,113.256,7.488,8.464,0.0,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070095062255859,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0061273574829101,0.0,0.0,0.0083684921264648,0.0,0.010848045349121,0.0292062759399414,0.0039070351835538,0.0045299530029296,0.496,1.424,0.0,0.0,134.024,7.488,8.464,0.0,12411.688,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069436460438341,0.0092744827270507,0.011444091796875,0.011444091796875,0.0112056732177734,0.0112056732177734,0.0,0.0065088272094726,0.0,0.0,0.0088691711425781,0.0,0.0107407569885253,0.0255584716796875,0.0039830822902012,0.0047683715820312,0.496,1.424,0.0,0.0,118.448,16.528,15.472,0.0,8060.904,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006349525641446,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043561061223347,0.0054836273193359,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,356.592,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061070919036865,0.0086069107055664,0.00762939453125,0.00762939453125,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.005650520324707,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,16.32,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061729166767384,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041227662161494,0.0048637390136718,0.496,1.424,0.0,0.0,122.384,0.0,0.0,0.0,911.192,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065333807646338,0.0085830688476562,0.00762939453125,0.00762939453125,0.0104904174804687,0.0104904174804687,0.0,0.0061988830566406,0.0,0.0,0.0079631805419921,0.0,0.0106334686279296,0.0267744064331054,0.0038836278072019,0.0045299530029296,0.496,1.424,0.0,0.0,117.192,7.488,8.464,0.0,6726.176,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065428700613145,0.0085830688476562,0.00762939453125,0.00762939453125,0.0126361846923828,0.0126361846923828,0.0,0.0068187713623046,0.0,0.0,0.0090360641479492,0.0,0.0108003616333007,0.0275135040283203,0.0039526831099401,0.0050067901611328,0.496,1.424,0.0,0.0,117.888,7.488,8.464,0.0,2963.768,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0123977661132812,0.0123977661132812,0.0,0.0063300132751464,0.0,0.0,0.0086784362792968,0.0,0.0110745429992675,0.0267982482910156,0.0040531158447265,0.005507469177246,0.496,1.424,0.0,0.0,113.256,16.528,15.472,0.0,333.744,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601593810733,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054041544596354,0.0065326690673828,0.496,1.424,0.0,0.0,117.232,0.0,0.0,0.0,8.568,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006321633216178,0.008559226989746,0.0092983245849609,0.0092983245849609,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039905309677124,0.0047683715820312,0.496,1.424,0.0,0.0,122.384,0.0,0.0,0.0,2530.24,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064003467559814,0.0088453292846679,0.0085830688476562,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040220177691915,0.0050067901611328,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,1488.48,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006366484236009,0.0090360641479492,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0,0.0061988830566406,0.0,0.0,0.0088453292846679,0.0,0.0116825103759765,0.028848648071289,0.0038542340149232,0.0045299530029296,0.496,1.36,0.0,0.0,122.384,7.488,8.464,0.0,11439.08,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071940730460247,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0090599060058593,0.0090599060058593,0.0,0.0065565109252929,0.0,0.0,0.0088453292846679,0.0,0.0113725662231445,0.0288963317871093,0.0038697021950479,0.0045299530029296,0.496,1.424,0.0,0.0,117.192,7.488,8.464,0.0,28469.584,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067219805361619,0.0092983245849609,0.0109672546386718,0.0109672546386718,0.011444091796875,0.011444091796875,0.0,0.0065565109252929,0.0,0.0,0.0086307525634765,0.0,0.0118017196655273,0.0315189361572265,0.005960464477539,0.005960464477539,0.496,1.424,0.0,0.0,113.256,16.528,15.472,0.0,1.192,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060351926888992,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059130179941357,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050067901611328,0.0050067901611328,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061428546905517,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060415267944335,0.0079154968261718,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0,0.0060319900512695,0.0,0.0,0.0086069107055664,0.0,0.010991096496582,0.0282764434814453,0.0,0.0,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059020519256591,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.0,0.0067472457885742,0.0,0.0,0.0091075897216796,0.0,0.0111341476440429,0.0290870666503906,0.0,0.0,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0
