time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_packet_loss_ul_percentage,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_packet_loss_dl_percentage,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067350283190978,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.009775161743164,0.009775161743164,0.0057003714821555,0.0069141387939453,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0090190342494419,0.0169277191162109,0.0,0.496,0.0,1.424,0.0,1.696,1.696,25.152,27.344,116.8,0.0060422079903738,0.0,0.0078678131103515,27.16,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0068180596650536,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0140666961669921,0.0140666961669921,0.0048975149790445,0.0061511993408203,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,0.0,114.728,0.0,0.0,0.0,59.936,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066033643276537,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0109672546386718,0.0109672546386718,0.0067949295043945,0.0081539154052734,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,0.0,112.56,0.0,0.0,0.0,9.664,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066155254250705,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0069141387939453,0.0069141387939453,0.005960464477539,0.007033348083496,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.392,0.0,1.696,1.696,0.0,0.0,118.064,0.0,0.0,0.0,16.048,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067587515607995,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0054836273193359,0.0064849853515625,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0116348266601562,0.0220775604248046,0.0,0.496,0.0,1.424,0.0,1.696,1.696,4.52,3.504,113.256,0.0077724456787109,0.0,0.009918212890625,11.88,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0068518915787118,0.0087738037109375,0.0119209289550781,0.0119209289550781,0.0109672546386718,0.0109672546386718,0.0045746564865112,0.0052213668823242,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.36,0.0,1.696,1.696,0.0,0.0,123.64,0.0,0.0,0.0,215.92,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065559178442504,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0052452087402343,0.0054359436035156,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,0.0,113.256,0.0,0.0,0.0,10.536,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065986196793133,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.005960464477539,0.005960464477539,0.0061988830566406,0.0061988830566406,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0,0.0,0.0,0.496,0.0,1.392,0.0,1.696,1.696,0.0,0.0,115.544,0.0,0.0,0.0,3.256,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006570816040039,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.0126361846923828,0.0126361846923828,0.0056425730387369,0.0057220458984375,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0103950500488281,0.0186920166015625,0.0,0.496,0.0,1.424,0.0,1.696,1.696,3.744,4.232,115.688,0.0060081481933593,0.0,0.0075340270996093,7.912,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065898895263671,0.0090599060058593,0.0064373016357421,0.0064373016357421,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0100135803222656,0.0185966491699218,0.4975124378109453,0.496,0.0,1.392,0.0,1.696,1.696,3.744,4.232,112.56,0.0063896179199218,0.0,0.0088214874267578,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065529346466064,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0137090682983398,0.0134706497192382,0.0149011611938476,0.0181913375854492,0.0105142593383789,0.0229835510253906,0.0,0.496,0.0,1.36,0.0,1.696,1.696,8.264,7.736,112.0,0.0065565109252929,0.0,0.0082731246948242,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065855718963774,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067423371707691,0.0085115432739257,0.009775161743164,0.009775161743164,0.0083446502685546,0.0083446502685546,0.007033348083496,0.0089406967163085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,123.184,0.0,0.0,0.0,10.256,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065725241134415,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.005960464477539,0.005960464477539,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066363811492919,0.0086069107055664,0.0069141387939453,0.0069141387939453,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0113964080810546,0.0206470489501953,0.0,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0072002410888671,0.0,0.0110626220703125,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065831995722073,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0108242034912109,0.0198841094970703,0.0,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,114.264,0.0059127807617187,0.0,0.0075340270996093,1.976,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065428700613145,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.0095367431640625,0.0048637390136718,0.0069618225097656,0.0,0.0,0.0,0.0,0.0098185105757279,0.0238418579101562,0.0,0.496,0.0,1.424,0.0,0.0,0.0,8.792,7.208,117.192,0.0062253740098741,0.0,0.0078678131103515,60.136,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0075873206643497,0.009775161743164,0.0162124633789062,0.0162124633789062,0.0123977661132812,0.0123977661132812,0.0038913881371276,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,137.4,0.0,0.0,0.0,39758.08,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.007065215913376,0.0092983245849609,0.0065565109252929,0.0066518783569335,0.010848045349121,0.0115156173706054,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,0.0,2.272,0.0,0.0,0.0,0.0,0.0,113.816,0.0,0.0,0.0,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0067488981945679,0.0088214874267578,0.0104904174804687,0.0104904174804687,0.0112056732177734,0.0112056732177734,0.0041450063387552,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,954.56,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0069881307667699,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0045168118214044,0.0057220458984375,0.0,0.0,0.0,0.0,0.0110626220703125,0.0206947326660156,0.0,0.496,0.0,1.424,0.0,0.0,0.0,3.744,4.232,121.16,0.0066280364990234,0.0,0.0087738037109375,713.272,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0074277469767859,0.0095367431640625,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0039225104469923,0.0047683715820312,0.0,0.0,0.0,0.0,0.009775161743164,0.0172853469848632,0.0,0.496,0.0,1.424,0.0,0.0,0.0,4.272,3.704,117.192,0.0056624412536621,0.0,0.0062942504882812,17610.928,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0069260004147961,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0049727303641183,0.0057935714721679,0.0,0.0,0.0,0.0,0.009918212890625,0.0229597091674804,0.0,0.496,0.0,1.424,0.0,0.0,0.0,8.264,7.736,117.192,0.0058174133300781,0.0,0.0079154968261718,127.856,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0072593119607042,0.0092983245849609,0.0100135803222656,0.0100135803222656,0.0128746032714843,0.0128746032714843,0.0039595591871044,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,5985.496,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0072240829467773,0.0090837478637695,0.0081062316894531,0.0081062316894531,0.0145435333251953,0.0145435333251953,0.0038825859457759,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,113.864,0.0,0.0,0.0,16441.464,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0079551545700224,0.0100135803222656,0.0092983245849609,0.0092983245849609,0.0159740447998046,0.0159740447998046,0.0039115405493506,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,34433.28,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0077887336806495,0.0104665756225585,0.011444091796875,0.011444091796875,0.0159740447998046,0.0159740447998046,0.0039178576153233,0.0045299530029296,0.0,0.0,0.0,0.0,0.0101089477539062,0.0188827514648437,0.0,0.496,0.0,1.424,0.0,0.0,0.0,3.744,4.232,118.448,0.0063896179199218,0.0,0.008249282836914,16267.432,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0077238177308941,0.0097513198852539,0.0107288360595703,0.0107288360595703,0.0152587890625,0.0152587890625,0.0038947783359864,0.0045299530029296,0.0,0.0,0.0,0.0,0.0108242034912109,0.0193119049072265,0.0,0.496,0.0,1.424,0.0,0.0,0.0,3.744,4.232,118.448,0.0058174133300781,0.0,0.0072479248046875,51996.448,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0078415870666503,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0109672546386718,0.0109672546386718,0.0039471054747569,0.0047683715820312,0.0,0.0,0.0,0.0,0.0101804733276367,0.0226497650146484,0.0,0.496,0.0,1.424,0.0,0.0,0.0,8.264,7.736,116.632,0.006413459777832,0.0,0.0083684921264648,12210.832,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0068453413930105,0.0085830688476562,0.00762939453125,0.00762939453125,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,112.56,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0069319312252215,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0039931164672043,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.392,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,4876.568,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066152259485045,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0107288360595703,0.0107288360595703,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,116.12,0.0,0.0,0.0,3.832,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006791353225708,0.0090599060058593,0.005960464477539,0.005960464477539,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0106334686279296,0.0198841094970703,0.0,0.496,0.0,1.424,0.0,0.0,0.0,3.744,4.232,112.0,0.0062465667724609,0.0,0.0078678131103515,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.00655117319591,0.0081062316894531,0.005960464477539,0.005960464477539,0.0092983245849609,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0100135803222656,0.0180721282958984,0.0,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,113.256,0.0058174133300781,0.0,0.0069141387939453,1.192,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006486177444458,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0101327896118164,0.0223875045776367,0.0,0.496,0.0,1.36,0.0,0.0,0.0,8.264,7.736,112.696,0.0060081481933593,0.0,0.0081062316894531,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065418299783039,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0121593475341796,0.0121593475341796,0.0060796737670898,0.0063657760620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,119.008,0.0,0.0,0.0,6.944,0
