time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061511993408203,0.0,0.0,0.0082015991210937,0.0,0.0,0.0109672546386718,0.0215530395507812,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059127807617187,0.0,0.0,0.0072956085205078,0.0,0.0,0.010538101196289,0.0193595886230468,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007486343383789,0.0,0.0,0.009465217590332,0.0,0.0,0.0105142593383789,0.0223636627197265,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,8.264,7.736,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115633010864257,0.0156641006469726,0.0,0.007033348083496,0.0077009201049804,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,1.696,1.696,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0,0.0,0.0073909759521484,0.0,0.0,0.0125885009765625,0.0237464904785156,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072479248046875,0.0,0.0,0.0087261199951171,0.0,0.0,0.0119209289550781,0.0226974487304687,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063313378228081,0.0,0.0,0.0081539154052734,0.0,0.0,0.0108155337246981,0.028848648071289,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,8.792,7.208,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333786010742187,0.0333786010742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0
