time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063992928767549,0.0086784362792968,0.0102519989013671,0.0102519989013671,0.0043265024820963,0.0045299530029296,0.0052452087402343,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.0164508819580078,0.0164508819580078,0.0090939658028738,0.0172138214111328,0.0,0.496,1.36,0.0,0.848,0.848,133.928,25.152,27.344,0.0,0.006103515625,0.0085353851318359,546.728,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065069387454797,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.004434585571289,0.0045299530029296,0.0052452087402343,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.848,0.848,118.448,25.152,27.344,0.0,0.006103515625,0.0085353851318359,354.144,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064112060698703,0.0090599060058593,0.0085830688476562,0.0085830688476562,0.0050033841814313,0.0045299530029296,0.0060319900512695,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.0069141387939453,0.0069141387939453,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.848,0.848,114.392,25.152,27.344,0.0,0.006103515625,0.0085353851318359,481.152,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006248701864214,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0043341091700962,0.0045299530029296,0.0053167343139648,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.0116825103759765,0.0116825103759765,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.848,0.848,117.192,25.152,27.344,0.0,0.006103515625,0.0085353851318359,226.48,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060850114964727,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0069141387939453,0.0045299530029296,0.0069141387939453,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.00762939453125,0.00762939453125,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.848,0.848,117.192,25.152,27.344,0.0,0.006103515625,0.0085353851318359,9.272,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063364778585101,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0042827041060836,0.0045299530029296,0.0050783157348632,0.0045299530029296,0.0090599060058593,0.0090599060058593,0.0123977661132812,0.0123977661132812,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.848,0.848,117.192,25.152,27.344,0.0,0.006103515625,0.0085353851318359,828.56,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063490867614746,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0047122730928308,0.0,0.0060081481933593,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.0,0.0,112.696,25.152,27.344,0.0,0.006103515625,0.0085353851318359,95.56,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062649792963915,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.005748536851671,0.0,0.0079631805419921,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0090939658028738,0.0172138214111328,0.0,0.496,1.36,0.0,0.0,0.0,118.448,25.152,27.344,0.0,0.006103515625,0.0085353851318359,55.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060684052272815,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0054836273193359,0.0,0.0054836273193359,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0090939658028738,0.0172138214111328,0.0,0.496,1.424,0.0,0.0,0.0,113.256,25.152,27.344,0.0,0.006103515625,0.0085353851318359,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063445180507716,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0046624077690972,0.0,0.0057220458984375,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0090939658028738,0.0172138214111328,0.0,0.496,1.36,0.0,0.0,0.0,127.576,25.152,27.344,0.0,0.006103515625,0.0085353851318359,269.776,0
