time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006184994595722,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.013589859008789,0.013589859008789,0.0064849853515625,0.0127553939819335,0.0133514404296875,0.0086784362792968,0.0157117843627929,0.01678466796875,0.0103950500488281,0.019073486328125,0.496,1.36,1.696,1.696,0.0,4.232,3.744,140.672,0.0042978085969623,0.0056266784667968,424.768,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060114694471976,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0064849853515625,0.0127553939819335,0.0133514404296875,0.0086784362792968,0.0157117843627929,0.01678466796875,0.0103950500488281,0.019073486328125,0.496,1.36,1.696,1.696,0.0,4.232,3.744,117.192,0.0042745045253208,0.0052928924560546,152.704,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060844421386718,0.0081062316894531,0.0128746032714843,0.0128746032714843,0.0119209289550781,0.0119209289550781,0.0063896179199218,0.0127553939819335,0.0133514404296875,0.0088453292846679,0.0157117843627929,0.01678466796875,0.0117063522338867,0.0305652618408203,0.496,1.36,1.696,1.696,0.0,8.464,7.488,112.0,0.0063180923461914,0.0081300735473632,14.336,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071631276548789,0.0095367431640625,0.0112056732177734,0.0112056732177734,0.017404556274414,0.017404556274414,0.0064531962076822,0.0127553939819335,0.0133514404296875,0.0088214874267578,0.0157117843627929,0.01678466796875,0.01068115234375,0.0258445739746093,0.496,1.36,1.696,1.696,0.0,11.968,12.008,123.64,0.003928022834876,0.0045299530029296,19122.384,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058074495685634,0.0073909759521484,0.0095367431640625,0.0095367431640625,0.019073486328125,0.019073486328125,0.005907482571072,0.0127553939819335,0.0133514404296875,0.0071048736572265,0.0157117843627929,0.01678466796875,0.0106854872270063,0.0252723693847656,0.496,1.36,1.696,1.696,0.0,7.208,8.792,113.256,0.0054836273193359,0.0054836273193359,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060197725817931,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0,0.0127553939819335,0.0133514404296875,0.0,0.0157117843627929,0.01678466796875,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,0.0,113.256,0.0071525573730468,0.0071525573730468,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060009956359863,0.0078678131103515,0.00762939453125,0.00762939453125,0.0104904174804687,0.0104904174804687,0.0,0.0127553939819335,0.0133514404296875,0.0,0.0157117843627929,0.01678466796875,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059676170349121,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.00762939453125,0.00762939453125,0.0060558319091796,0.0127553939819335,0.0133514404296875,0.0077724456787109,0.0157117843627929,0.01678466796875,0.0114917755126953,0.0215053558349609,0.496,1.36,1.696,1.696,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497356414794,0.0083446502685546,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0060796737670898,0.0127553939819335,0.0133514404296875,0.0086307525634765,0.0157117843627929,0.01678466796875,0.0115394592285156,0.0284671783447265,0.496,1.36,1.696,1.696,0.0,8.464,7.488,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059330463409423,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0145435333251953,0.0145435333251953,0.0061648232596261,0.0127553939819335,0.0133514404296875,0.0084400177001953,0.0157117843627929,0.01678466796875,0.0107139348983764,0.0268220901489257,0.496,1.36,1.696,1.696,0.0,11.44,12.536,112.0,0.0,0.0,0.0,0
