time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063708765589775,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0071525573730468,0.0071525573730468,0.0050067901611328,0.0104904174804687,0.0061103275844029,0.0050067901611328,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.36,0.0,0.848,0.848,113.256,25.152,27.344,0.0,1.192,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075437490222523,0.0102519989013671,0.0104904174804687,0.0104904174804687,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0090599060058593,0.0090599060058593,0.0039093461944482,0.0104904174804687,0.0061103275844029,0.0045299530029296,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,142.904,25.152,27.344,0.0,38278.856,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0080208280193271,0.0102519989013671,0.0123977661132812,0.0123977661132812,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0095367431640625,0.0095367431640625,0.0039156322161104,0.0104904174804687,0.0061103275844029,0.0045299530029296,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,117.192,25.152,27.344,0.0,42549.664,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0076043605804443,0.0100374221801757,0.0090599060058593,0.0090599060058593,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0107288360595703,0.0107288360595703,0.0039232428240012,0.0104904174804687,0.0061103275844029,0.0045299530029296,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,116.632,25.152,27.344,0.0,47972.2,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074672698974609,0.0100135803222656,0.009775161743164,0.009775161743164,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0107288360595703,0.0107288360595703,0.0039484014208912,0.0104904174804687,0.0061103275844029,0.0047683715820312,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,116.632,25.152,27.344,0.0,30719.792,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075356877265284,0.0100135803222656,0.009775161743164,0.009775161743164,0.0047683715820312,0.0047683715820312,0.0104904174804687,0.0090599060058593,0.0090599060058593,0.0056378981646369,0.0104904174804687,0.0061103275844029,0.0069141387939453,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,117.192,25.152,27.344,0.0,96.088,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073331417423663,0.0100135803222656,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0048267598054846,0.0,0.0061103275844029,0.005960464477539,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.0,0.0,118.448,25.152,27.344,0.0,230.056,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066532947049282,0.0090599060058593,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.004587173461914,0.0,0.0061103275844029,0.0052452087402343,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.0,0.0,118.448,25.152,27.344,0.0,448.336,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061493108768274,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.005960464477539,0.005960464477539,0.0042915344238281,0.0112056732177734,0.0112056732177734,0.004887580871582,0.0042915344238281,0.0061103275844029,0.0059843063354492,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.848,0.848,115.904,25.152,27.344,0.0,89.904,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063696903968924,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0063010624476841,0.0,0.0061103275844029,0.0081062316894531,0.0081062316894531,0.0101498195103236,0.022125244140625,0.496,1.424,0.0,0.0,0.0,117.192,25.152,27.344,0.0,24.44,0
